Sample	drugstone_link	link_raw
Entry_and_Uncoating.amygdala.diamond	<a href=https://drugst.one/?id=545d57fec7ed43d887b4e8d2a404b58e>Entry_and_Uncoating.amygdala.diamond</a>	https://drugst.one/?id=545d57fec7ed43d887b4e8d2a404b58e
Entry_and_Uncoating.amygdala.no_tool	<a href=https://drugst.one/?id=a6213d285e2a4fad80be955ce4ac4cc3>Entry_and_Uncoating.amygdala.no_tool</a>	https://drugst.one/?id=a6213d285e2a4fad80be955ce4ac4cc3
Entry_and_Uncoating.amygdala.robust	<a href=https://drugst.one/?id=0401e04944754269aedec13aaf5f698a>Entry_and_Uncoating.amygdala.robust</a>	https://drugst.one/?id=0401e04944754269aedec13aaf5f698a
Entry_and_Uncoating.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=007c0428679746e29527d9583b8129bf>Entry_and_Uncoating.amygdala.robust_bias_aware</a>	https://drugst.one/?id=007c0428679746e29527d9583b8129bf
Entry_and_Uncoating.amygdala.rwr	<a href=https://drugst.one/?id=f92694fb007042768ea7734b25eeb73d>Entry_and_Uncoating.amygdala.rwr</a>	https://drugst.one/?id=f92694fb007042768ea7734b25eeb73d
Entry_and_Uncoating.brain.diamond	<a href=https://drugst.one/?id=1b78250c2d154e099502c4a0f50028c2>Entry_and_Uncoating.brain.diamond</a>	https://drugst.one/?id=1b78250c2d154e099502c4a0f50028c2
Entry_and_Uncoating.brain.domino	<a href=https://drugst.one/?id=f1b51d55a53046aea923d2fa9cce2dd6>Entry_and_Uncoating.brain.domino</a>	https://drugst.one/?id=f1b51d55a53046aea923d2fa9cce2dd6
Entry_and_Uncoating.brain.no_tool	<a href=https://drugst.one/?id=84ccc562c8a24bd1bfbfc7dcd3e724b5>Entry_and_Uncoating.brain.no_tool</a>	https://drugst.one/?id=84ccc562c8a24bd1bfbfc7dcd3e724b5
Entry_and_Uncoating.brain.robust	<a href=https://drugst.one/?id=8049e9be37044a468f0377dc7c5a49fa>Entry_and_Uncoating.brain.robust</a>	https://drugst.one/?id=8049e9be37044a468f0377dc7c5a49fa
Entry_and_Uncoating.brain.robust_bias_aware	<a href=https://drugst.one/?id=daad22d51fd14cb286d20eecb19261c3>Entry_and_Uncoating.brain.robust_bias_aware</a>	https://drugst.one/?id=daad22d51fd14cb286d20eecb19261c3
Entry_and_Uncoating.brain.rwr	<a href=https://drugst.one/?id=f03a6222a9da4d16bf8f49406dfe9326>Entry_and_Uncoating.brain.rwr</a>	https://drugst.one/?id=f03a6222a9da4d16bf8f49406dfe9326
Entry_and_Uncoating.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=b937fe571cfc49cb8aa835437837b4a0>Entry_and_Uncoating.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=b937fe571cfc49cb8aa835437837b4a0
