module,pathway_id,pathway_name,pathway_database,module_size,pathway_size,overlap,p_value,fold_enrichment,fdr,significant
CC_Host_Nucleus/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,107,301,11,1.068580335173146e-08,10.202982253491546,1.0685803351731459e-07,True
BP_Assembly_and_Packaging/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,22,301,5,2.2497892974083284e-06,22.5561797752809,1.1248946487041642e-05,True
CC_Virion_Components/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,23,301,4,7.596361760841031e-05,17.26038104543234,0.00023399047984454604,True
BP_Replication_and_Transcription/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,73,301,6,9.359619193781843e-05,8.157303370786517,0.00023399047984454604,True
BP_Immune_Evasion/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,63,301,5,0.0004301527207922783,7.876761191367933,0.0008603054415845566,True
CC_Host_Membrane/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,49,301,4,0.0014824659115858514,8.101811511121303,0.0024707765193097524,True
BP_Egress_and_Envelopment/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,57,301,3,0.019774710308367183,5.223536369012419,0.028249586154810265,True
BP_Entry_and_Uncoating/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,22,301,0,1.0,0.0,1.0,False
BP_Uncharacterized/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,10,301,0,1.0,0.0,1.0,False
CC_Host_Cytoplasm/consensus/uniprot_ppi.tsv,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),KEGG,8,301,0,1.0,0.0,1.0,False
