rank,module,primary_ranking_score,rank_metric_used,significant_pathways_count (FDR<0.05),score_weighted_sumlog,score_mean_log10_p,max_fold_enrichment,min_p_value
1,"('CC_Host_Nucleus/consensus/uniprot_ppi.tsv',)",9.749682424317708,weighted_sumlog,1,9.749682424317708,9.749682424317708,5.312501708630635,1.7795802435789832e-10
2,"('BP_Assembly_and_Packaging/consensus/uniprot_ppi.tsv',)",7.815262385624038,weighted_sumlog,1,7.815262385624038,7.815262385624039,11.540371047818134,1.530162711258063e-08
3,"('CC_Virion_Components/consensus/uniprot_ppi.tsv',)",7.720548154805205,weighted_sumlog,1,7.720548154805205,7.720548154805204,9.66123098339465,1.903057213872264e-08
4,"('BP_Egress_and_Envelopment/consensus/uniprot_ppi.tsv',)",6.233321040427334,weighted_sumlog,1,6.233321040427334,6.233321040427334,4.023534770725782,5.843579536613388e-07
5,"('CC_Host_Membrane/consensus/uniprot_ppi.tsv',)",5.459335722548515,weighted_sumlog,1,5.459335722548515,5.459335722548515,3.724508271944837,3.472676094689211e-06
6,"('BP_Replication_and_Transcription/consensus/uniprot_ppi.tsv',)",5.455299140643056,weighted_sumlog,1,5.455299140643056,5.455299140643056,4.796332651100623,3.505103603757495e-06
7,"('BP_Entry_and_Uncoating/consensus/uniprot_ppi.tsv',)",3.980881035042402,weighted_sumlog,1,3.980881035042402,3.980881035042402,4.372122952036826,0.00010450064354308448
8,"('BP_Immune_Evasion/consensus/uniprot_ppi.tsv',)",3.6119412340643353,weighted_sumlog,1,3.6119412340643353,3.6119412340643353,3.9383805956839666,0.00024437612043691666
9,"('CC_Host_Cytoplasm/consensus/uniprot_ppi.tsv',)",3.234943926819561,weighted_sumlog,1,3.234943926819561,3.234943926819561,5.838070059484468,0.0005821783798725516
10,"('BP_Uncharacterized/consensus/uniprot_ppi.tsv',)",2.3084917514140098,weighted_sumlog,1,2.3084917514140098,2.3084917514140098,5.838070059484468,0.004914827148767877
