rank,module,primary_ranking_score,rank_metric_used,significant_pathways_count (FDR<0.05),score_weighted_sumlog,score_mean_log10_p,max_fold_enrichment,min_p_value
1,"('BP_Assembly_and_Packaging/consensus/uniprot_ppi.tsv',)",25.59114811920835,weighted_sumlog,1,25.59114811920835,25.59114811920835,9.871360396278845,2.56360955021097e-26
2,"('CC_Host_Nucleus/consensus/uniprot_ppi.tsv',)",12.043334850799377,weighted_sumlog,1,12.043334850799377,12.043334850799377,3.5926584981442877,9.050345298698414e-13
3,"('CC_Virion_Components/consensus/uniprot_ppi.tsv',)",9.455847781469329,weighted_sumlog,1,9.455847781469329,9.455847781469329,5.720299193731179,3.5006784294893523e-10
4,"('BP_Egress_and_Envelopment/consensus/uniprot_ppi.tsv',)",6.850180508943255,weighted_sumlog,1,6.850180508943255,6.850180508943255,2.9580354977655112,1.4119505634641965e-07
5,"('BP_Replication_and_Transcription/consensus/uniprot_ppi.tsv',)",6.336110680242467,weighted_sumlog,1,6.336110680242467,6.336110680242467,3.2058312035930863,4.612000224442241e-07
6,"('BP_Immune_Evasion/consensus/uniprot_ppi.tsv',)",5.20044819264021,weighted_sumlog,1,5.20044819264021,5.20044819264021,3.0249506694280917,6.303065313109303e-06
7,"('CC_Host_Membrane/consensus/uniprot_ppi.tsv',)",4.735645090251852,weighted_sumlog,1,4.735645090251852,4.735645090251852,2.5862460198367674,1.8380397940725263e-05
8,"('BP_Entry_and_Uncoating/consensus/uniprot_ppi.tsv',)",2.7411814273943613,weighted_sumlog,1,2.7411814273943613,2.7411814273943613,2.454877516178981,0.0018147573858459606
9,"('CC_Host_Cytoplasm/consensus/uniprot_ppi.tsv',)",1.6372216388365075,weighted_sumlog,1,1.6372216388365075,1.6372216388365075,2.1839235185846544,0.023055702584423406
10,"('BP_Uncharacterized/consensus/uniprot_ppi.tsv',)",1.0117774286814967,weighted_sumlog,0,1.0117774286814967,1.0117774286814967,1.9025020641131494,0.09732458741837506
