drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB00228,7.584818795555021e-05,4.1200547902273605,1,Enflurane,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB00228|P25101,,
DB00228,7.584818795555021e-05,4.1200547902273605,1,Enflurane,N01,Anesthetics ,P34903,GABRA3,ENSG00000011677,DB00228|P34903,target_positiveEffect,potentiator
DB00228,7.584818795555021e-05,4.1200547902273605,1,Enflurane,N01,Anesthetics ,P07437,TUBB,ENSG00000196230,DB00228|P07437,,
DB00543,5.768053231271205e-05,4.238970740323878,2,Amoxapine,N06,Psychoanaleptics ,P25101,EDNRA,ENSG00000151617,DB00543|P25101,,
DB00543,5.768053231271205e-05,4.238970740323878,2,Amoxapine,N06,Psychoanaleptics ,P34903,GABRA3,ENSG00000011677,DB00543|P34903,target,binder
DB00543,5.768053231271205e-05,4.238970740323878,2,Amoxapine,N06,Psychoanaleptics ,P07437,TUBB,ENSG00000196230,DB00543|P07437,,
DB00898,5.658389517217199e-05,4.247307159502688,3,,,,P25101,EDNRA,ENSG00000151617,DB00898|P25101,,
DB00898,5.658389517217199e-05,4.247307159502688,3,,,,P34903,GABRA3,ENSG00000011677,DB00898|P34903,,
DB00898,5.658389517217199e-05,4.247307159502688,3,,,,P07437,TUBB,ENSG00000196230,DB00898|P07437,,
DB01133,5.654072571146341e-05,4.247638621554646,4,Tiludronic Acid,M05,Drugs for treatment of bone diseases ,P25101,EDNRA,ENSG00000151617,DB01133|P25101,,
DB01133,5.654072571146341e-05,4.247638621554646,4,Tiludronic Acid,M05,Drugs for treatment of bone diseases ,P34903,GABRA3,ENSG00000011677,DB01133|P34903,,
DB01133,5.654072571146341e-05,4.247638621554646,4,Tiludronic Acid,M05,Drugs for treatment of bone diseases ,P07437,TUBB,ENSG00000196230,DB01133|P07437,,
DB01159,5.427739554490489e-05,4.2653809997671495,5,Halothane,N01,Anesthetics ,P25101,EDNRA,ENSG00000151617,DB01159|P25101,,
