Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Assembly_and_Packaging.amygdala.diamond	230	6780	30	4.0	2	229	2	1
Assembly_and_Packaging.amygdala.domino	63	99	15	2.0	3	55	1	0
Assembly_and_Packaging.amygdala.firstneighbor	3268	85367	30	5.0	1	3268	1	0
Assembly_and_Packaging.amygdala.no_tool	30	34	30	3.0	14	14	0	12
Assembly_and_Packaging.amygdala.robust	55	79	30	8.0	5	51	1	4
Assembly_and_Packaging.amygdala.robust_bias_aware	57	83	30	6.0	5	53	1	4
Assembly_and_Packaging.amygdala.rwr	65	247	30	4.0	1	65	1	0
Assembly_and_Packaging.brain.diamond	232	7125	32	4.0	3	230	2	2
Assembly_and_Packaging.brain.domino	64	111	16	1.0	2	61	1	0
Assembly_and_Packaging.brain.firstneighbor	3330	88144	32	5.0	1	3330	1	0
Assembly_and_Packaging.brain.no_tool	32	35	32	3.0	15	14	0	13
Assembly_and_Packaging.brain.robust	61	93	32	7.0	3	59	1	2
Assembly_and_Packaging.brain.robust_bias_aware	62	92	32	7.0	4	59	1	3
Assembly_and_Packaging.brain.rwr	53	164	32	5.0	1	53	1	0
Assembly_and_Packaging.dorsal_root_ganglia.diamond	231	6189	31	3.0	4	228	2	3
Assembly_and_Packaging.dorsal_root_ganglia.domino	57	91	14	2.0	2	53	1	0
Assembly_and_Packaging.dorsal_root_ganglia.firstneighbor	3374	91416	31	5.0	1	3374	1	0
Assembly_and_Packaging.dorsal_root_ganglia.no_tool	31	34	31	3.0	15	14	0	13
Assembly_and_Packaging.dorsal_root_ganglia.robust	62	84	31	9.0	6	57	1	5
Assembly_and_Packaging.dorsal_root_ganglia.robust_bias_aware	64	93	31	7.0	5	60	1	4
Assembly_and_Packaging.dorsal_root_ganglia.rwr	54	198	31	4.0	1	54	1	0
Assembly_and_Packaging.hypothalamus.diamond	232	7127	32	4.0	3	230	2	2
Assembly_and_Packaging.hypothalamus.domino	73	123	19	6.0	3	60	1	0
Assembly_and_Packaging.hypothalamus.firstneighbor	3316	87588	32	5.0	1	3316	1	0
Assembly_and_Packaging.hypothalamus.no_tool	32	35	32	3.0	15	14	0	13
Assembly_and_Packaging.hypothalamus.robust	63	97	32	8.0	3	61	1	2
Assembly_and_Packaging.hypothalamus.robust_bias_aware	63	96	32	6.0	5	59	1	4
Assembly_and_Packaging.hypothalamus.rwr	52	162	32	5.0	1	52	1	0
Assembly_and_Packaging.salivary_gland.diamond	230	5462	30	4.0	4	227	2	3
Assembly_and_Packaging.salivary_gland.domino	52	96	14	2.0	2	46	1	0
Assembly_and_Packaging.salivary_gland.firstneighbor	3291	89123	30	5.0	1	3291	1	0
Assembly_and_Packaging.salivary_gland.no_tool	30	33	30	2.0	15	14	0	13
Assembly_and_Packaging.salivary_gland.robust	69	106	30	7.0	6	64	1	5
Assembly_and_Packaging.salivary_gland.robust_bias_aware	69	107	30	7.0	4	66	1	3
Assembly_and_Packaging.salivary_gland.rwr	96	509	30	5.0	1	96	1	0
Assembly_and_Packaging.uniprot_ppi.diamond	242	6209	42	5.0	4	239	2	3
Assembly_and_Packaging.uniprot_ppi.domino	86	125	22	9.0	2	82	1	0
Assembly_and_Packaging.uniprot_ppi.firstneighbor	4327	123527	42	5.0	1	4327	1	0
Assembly_and_Packaging.uniprot_ppi.no_tool	42	44	42	3.0	18	21	0	16
Assembly_and_Packaging.uniprot_ppi.robust	79	117	42	7.0	7	73	1	6
Assembly_and_Packaging.uniprot_ppi.robust_bias_aware	81	119	42	0	6	76	1	5
Assembly_and_Packaging.uniprot_ppi.rwr	104	502	42	5.0	1	104	1	0
