drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,P30536,TSPO,ENSG00000100300,DB02107|P30536,,
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,P35372,OPRM1,ENSG00000112038,DB02107|P35372,,
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,P25101,EDNRA,ENSG00000151617,DB02107|P25101,,
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,P03372,ESR1,ENSG00000091831,DB02107|P03372,,
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,P34903,GABRA3,ENSG00000011677,DB02107|P34903,,
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,Q02750,MAP2K1,ENSG00000169032,DB02107|Q02750,,
DB02107,9.378083141869894e-05,4.027885921320431,1,,,,P07437,TUBB,ENSG00000196230,DB02107|P07437,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,P30536,TSPO,ENSG00000100300,DB12010|P30536,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,P35372,OPRM1,ENSG00000112038,DB12010|P35372,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,P25101,EDNRA,ENSG00000151617,DB12010|P25101,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,P03372,ESR1,ENSG00000091831,DB12010|P03372,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,P34903,GABRA3,ENSG00000011677,DB12010|P34903,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,Q02750,MAP2K1,ENSG00000169032,DB12010|Q02750,,
DB12010,5.772563507844562e-05,4.238631280419495,2,Fostamatinib,B02,Antihemorrhagics ,P07437,TUBB,ENSG00000196230,DB12010|P07437,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB01268|P30536,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB01268|P35372,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,P25101,EDNRA,ENSG00000151617,DB01268|P25101,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB01268|P03372,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,P34903,GABRA3,ENSG00000011677,DB01268|P34903,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB01268|Q02750,,
DB01268,5.083984815451751e-05,4.293795755241429,3,Sunitinib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB01268|P07437,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P30536,TSPO,ENSG00000100300,DB14487|P30536,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P35372,OPRM1,ENSG00000112038,DB14487|P35372,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P25101,EDNRA,ENSG00000151617,DB14487|P25101,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P03372,ESR1,ENSG00000091831,DB14487|P03372,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P34903,GABRA3,ENSG00000011677,DB14487|P34903,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,Q02750,MAP2K1,ENSG00000169032,DB14487|Q02750,,
DB14487,4.759700867736437e-05,4.322420340467239,4,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P07437,TUBB,ENSG00000196230,DB14487|P07437,,
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,P30536,TSPO,ENSG00000100300,DB01593|P30536,,
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,P35372,OPRM1,ENSG00000112038,DB01593|P35372,,
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,P25101,EDNRA,ENSG00000151617,DB01593|P25101,,
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,P03372,ESR1,ENSG00000091831,DB01593|P03372,target_positiveEffect,cofactor
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,P34903,GABRA3,ENSG00000011677,DB01593|P34903,,
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,Q02750,MAP2K1,ENSG00000169032,DB01593|Q02750,,
DB01593,4.759700867736436e-05,4.322420340467239,4,,,,P07437,TUBB,ENSG00000196230,DB01593|P07437,,
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,P30536,TSPO,ENSG00000100300,DB14533|P30536,,
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,P35372,OPRM1,ENSG00000112038,DB14533|P35372,,
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,P25101,EDNRA,ENSG00000151617,DB14533|P25101,,
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,P03372,ESR1,ENSG00000091831,DB14533|P03372,target,binder
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,P34903,GABRA3,ENSG00000011677,DB14533|P34903,,
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,Q02750,MAP2K1,ENSG00000169032,DB14533|Q02750,,
DB14533,4.343058099397549e-05,4.362204360810696,6,,,,P07437,TUBB,ENSG00000196230,DB14533|P07437,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB09079|P30536,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB09079|P35372,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,P25101,EDNRA,ENSG00000151617,DB09079|P25101,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB09079|P03372,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,P34903,GABRA3,ENSG00000011677,DB09079|P34903,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB09079|Q02750,,
DB09079,4.3231862826204e-05,4.364196050663179,7,Nintedanib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB09079|P07437,,
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,P30536,TSPO,ENSG00000100300,DB14548|P30536,,
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,P35372,OPRM1,ENSG00000112038,DB14548|P35372,,
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,P25101,EDNRA,ENSG00000151617,DB14548|P25101,,
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,P03372,ESR1,ENSG00000091831,DB14548|P03372,target,binder
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,P34903,GABRA3,ENSG00000011677,DB14548|P34903,,
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,Q02750,MAP2K1,ENSG00000169032,DB14548|Q02750,,
DB14548,4.2281809894424085e-05,4.373846430770056,8,,,,P07437,TUBB,ENSG00000196230,DB14548|P07437,,
DB06595,4.032128024691755e-05,4.394465686995448,9,Midostaurin,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB06595|P30536,,
DB06595,4.032128024691755e-05,4.394465686995448,9,Midostaurin,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB06595|P35372,,
DB06595,4.032128024691755e-05,4.394465686995448,9,Midostaurin,L01,Antineoplastic agents ,P25101,EDNRA,ENSG00000151617,DB06595|P25101,,
DB06595,4.032128024691755e-05,4.394465686995448,9,Midostaurin,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB06595|P03372,,
DB06595,4.032128024691755e-05,4.394465686995448,9,Midostaurin,L01,Antineoplastic agents ,P34903,GABRA3,ENSG00000011677,DB06595|P34903,,
DB06595,4.032128024691755e-05,4.394465686995448,9,Midostaurin,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB06595|Q02750,,
