drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,Q13547,HDAC1,ENSG00000116478,DB04855|Q13547,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,Q9UQL6,HDAC5,ENSG00000108840,DB04855|Q9UQL6,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,Q92769,HDAC2,ENSG00000196591,DB04855|Q92769,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,P09884,POLA1,ENSG00000101868,DB04855|P09884,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,P12268,IMPDH2,ENSG00000178035,DB04855|P12268,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,P07947,YES1,ENSG00000176105,DB04855|P07947,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,P06241,FYN,ENSG00000010810,DB04855|P06241,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,P56524,HDAC4,ENSG00000068024,DB04855|P56524,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,Q8WUI4,HDAC7,ENSG00000061273,DB04855|Q8WUI4,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,O15379,HDAC3,ENSG00000171720,DB04855|O15379,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,Q9UKV0,HDAC9,ENSG00000048052,DB04855|Q9UKV0,,
DB04855,0.0001138148022684,3.94380125177714,1,Dronedarone,C01,Cardiac therapy ,P12931,SRC,ENSG00000197122,DB04855|P12931,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,Q13547,HDAC1,ENSG00000116478,DB09083|Q13547,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,Q9UQL6,HDAC5,ENSG00000108840,DB09083|Q9UQL6,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,Q92769,HDAC2,ENSG00000196591,DB09083|Q92769,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,P09884,POLA1,ENSG00000101868,DB09083|P09884,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,P12268,IMPDH2,ENSG00000178035,DB09083|P12268,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,P07947,YES1,ENSG00000176105,DB09083|P07947,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,P06241,FYN,ENSG00000010810,DB09083|P06241,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,P56524,HDAC4,ENSG00000068024,DB09083|P56524,,
DB09083,0.0001000472459035,3.999794862103574,2,Ivabradine,C01,Cardiac therapy,Q8WUI4,HDAC7,ENSG00000061273,DB09083|Q8WUI4,,
