sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Host_Nucleus.brain.robust_bias_aware	243	305	196	1	15.0	2	242	1
Host_Nucleus.amygdala.rwr	353	7821	192	1	7.0	1	353	0
Host_Nucleus.hypothalamus.diamond	392	12518	192	1	4.0	7	386	6
Host_Nucleus.brain.diamond	396	12463	196	1	5.0	9	388	8
Host_Nucleus.dorsal_root_ganglia.robust_bias_aware	230	257	193	1	22.0	6	225	5
Host_Nucleus.salivary_gland.firstneighbor	7067	185248	195	1	5.0	1	7067	0
Host_Nucleus.amygdala.diamond	392	12633	192	1	5.0	7	386	6
Host_Nucleus.hypothalamus.no_tool	192	1156	192	0	6.0	15	178	14
Host_Nucleus.uniprot_ppi.diamond	445	14378	245	1	5.0	10	436	9
Host_Nucleus.hypothalamus.domino	378	1812	96	1	6.0	1	378	0
Host_Nucleus.amygdala.no_tool	192	1187	192	0	6.0	15	178	14
Host_Nucleus.dorsal_root_ganglia.diamond	393	12536	193	1	5.0	7	387	6
Host_Nucleus.dorsal_root_ganglia.firstneighbor	7139	188551	193	1	5.0	1	7139	0
Host_Nucleus.uniprot_ppi.domino	416	2140	105	1	6.0	1	416	0
Host_Nucleus.hypothalamus.firstneighbor	6977	179847	192	1	5.0	1	6977	0
Host_Nucleus.brain.rwr	374	8239	196	1	7.0	1	374	0
Host_Nucleus.uniprot_ppi.robust	287	356	245	1	18.0	6	282	5
Host_Nucleus.dorsal_root_ganglia.rwr	363	8379	193	1	6.0	1	363	0
Host_Nucleus.brain.domino	292	1060	85	1	7.0	1	292	0
Host_Nucleus.brain.robust	244	305	196	1	13.0	3	242	2
Host_Nucleus.hypothalamus.rwr	364	7998	192	1	7.0	1	364	0
Host_Nucleus.amygdala.robust_bias_aware	232	276	192	1	13.0	4	229	3
Host_Nucleus.hypothalamus.robust	230	273	192	1	15.0	4	227	3
Host_Nucleus.hypothalamus.robust_bias_aware	230	285	192	1	14.0	3	228	2
Host_Nucleus.amygdala.firstneighbor	7007	178875	192	1	5.0	1	7007	0
Host_Nucleus.salivary_gland.domino	287	1524	81	1	6.0	1	287	0
Host_Nucleus.brain.firstneighbor	7054	181889	196	1	5.0	1	7054	0
Host_Nucleus.dorsal_root_ganglia.no_tool	193	1180	193	0	6.0	15	179	14
Host_Nucleus.salivary_gland.robust	234	262	195	1	17.0	3	232	2
Host_Nucleus.uniprot_ppi.rwr	710	22241	245	1	6.0	1	710	0
Host_Nucleus.salivary_gland.robust_bias_aware	236	268	195	1	17.0	4	233	3
Host_Nucleus.amygdala.robust	233	274	192	1	14.0	3	231	2
Host_Nucleus.salivary_gland.diamond	395	12557	195	1	5.0	9	387	8
Host_Nucleus.salivary_gland.no_tool	195	1209	195	0	6.0	15	181	14
Host_Nucleus.salivary_gland.rwr	458	11778	195	1	6.0	1	458	0
Host_Nucleus.dorsal_root_ganglia.robust	229	255	193	1	28.0	6	224	5
Host_Nucleus.uniprot_ppi.no_tool	245	1568	245	0	6.0	17	229	16
Host_Nucleus.amygdala.domino	254	1153	73	1	7.0	1	254	0
Host_Nucleus.dorsal_root_ganglia.domino	326	1517	102	1	7.0	1	326	0
Host_Nucleus.uniprot_ppi.robust_bias_aware	286	348	245	1	12.0	6	281	5
Host_Nucleus.brain.no_tool	196	1166	196	0	6.0	16	181	15
Host_Nucleus.uniprot_ppi.firstneighbor	9380	253226	245	1	5.0	1	9380	0
