cmpdname,drugbank_id,atc_code,atc_label
Aminolevulinic Acid,DB00855,C1420,Photosensitizing Agent
Aminolevulinic Acid,DB00855,D003879,Dermatologic Agents
Aminolevulinic Acid,DB00855,D011838,Radiation-Sensitizing Agents 
Aminolevulinic Acid,DB00855,D017319,Photosensitizing Agents
Aminolevulinic Acid,DB00855,L01,Antineoplastic agents 
Aminolevulinic Acid,DB00855,L01X,Other antineoplastic agents 
Aminolevulinic Acid,DB00855,L01XD,Sensitizers used in photodynamic/radiation therapy
Acetic Acid,DB03166,C254,Anti-Infective Agent
Acetic Acid,DB03166,D000890,Anti-Infective Agents 
Acetic Acid,DB03166,D000900,Anti-Bacterial Agents
Acetic Acid,DB03166,D019995,Laboratory Chemicals 
Acetic Acid,DB03166,D007202,Indicators and Reagents
Acetic Acid,DB03166,G01,Gynecological antiinfectives and antiseptics 
Acetic Acid,DB03166,G01A,"Antiinfectives and antiseptics, excl. combinations with corticosteroids "
Acetic Acid,DB03166,G01AD,Organic acids
Acetic Acid,DB03166,S02,Otologicals 
Acetic Acid,DB03166,S02A,Antiinfectives 
Acetic Acid,DB03166,S02AA,Antiinfectives
Acetylcholine,DB03128,D018377,Neurotransmitter Agents 
Acetylcholine,DB03128,D018678,Cholinergic Agents 
Acetylcholine,DB03128,D018679,Cholinergic Agonists
Acetylcholine,DB03128,S01,Ophthalmologicals 
Acetylcholine,DB03128,S01E,Antiglaucoma preparations and miotics 
Acetylcholine,DB03128,S01EB,Parasympathomimetics
Acetylcholine,DB03128,C78272,Agent Affecting Nervous System 
Acetylcholine,DB03128,C47796,Cholinergic Agonist
Acetylcholine,DB03128,D002317,Cardiovascular Agents 
Acetylcholine,DB03128,D014665,Vasodilator Agents
Quinacrine,DB01103,C254,Anti-Infective Agent 
Quinacrine,DB01103,C276,Antiparasitic Agent 
Quinacrine,DB01103,C277,Antiprotozoal Agent
Quinacrine,DB01103,D000890,Anti-Infective Agents 
Quinacrine,DB01103,D000977,Antiparasitic Agents 
Quinacrine,DB01103,D000871,Anthelmintics
Quinacrine,DB01103,D000890,Anti-Infective Agents 
Quinacrine,DB01103,D000977,Antiparasitic Agents 
Quinacrine,DB01103,D000981,Antiprotozoal Agents
Quinacrine,DB01103,D000970,Antineoplastic Agents
Quinacrine,DB01103,D004791,Enzyme Inhibitors
Quinacrine,DB01103,P01,Antiprotozoals 
Quinacrine,DB01103,P01A,Agents against amoebiasis and other protozoal diseases
Benzyl Alcohol,DB06770,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Benzyl Alcohol,DB06770,P03A,"Ectoparasiticides, incl. scabicides"
Benzyl Alcohol,DB06770,D002491,Central Nervous System Agents 
Benzyl Alcohol,DB06770,D002492,Central Nervous System Depressants 
Benzyl Alcohol,DB06770,D000777,Anesthetics
Benzyl Alcohol,DB06770,C254,Anti-Infective Agent 
Benzyl Alcohol,DB06770,C28394,Topical Anti-Infective Agent
Benzyl Alcohol,DB06770,D018373,Peripheral Nervous System Agents 
Benzyl Alcohol,DB06770,D018689,Sensory System Agents
Betaine,DB06756,A16,Other alimentary tract and metabolism products 
Betaine,DB06756,A16A,Other alimentary tract and metabolism products 
Betaine,DB06756,A16AA,Amino acids and derivatives
Betaine,DB06756,D005765,Gastrointestinal Agents
Betaine,DB06756,D009676,Noxae 
Betaine,DB06756,D000963,Antimetabolites
Betaine,DB06756,D057847,Lipid Regulating Agents 
Betaine,DB06756,D000960,Hypolipidemic Agents 
Betaine,DB06756,D008082,Lipotropic Agents
Carbon Dioxide,DB09157,V03,All other therapeutic products 
Carbon Dioxide,DB09157,V03A,All other therapeutic products 
Carbon Dioxide,DB09157,V03AN,Medical gases
Carbon Monoxide,DB11588,D009676,Noxae 
Carbon Monoxide,DB11588,D000963,Antimetabolites
Carbon Monoxide,DB11588,D018377,Neurotransmitter Agents 
Carbon Monoxide,DB11588,D064426,Gasotransmitters
Carbon Monoxide,DB11588,V04,Diagnostic agents
Citric Acid,DB04272,C26170,Protective Agent 
Citric Acid,DB04272,C275,Antioxidant
Citric Acid,DB04272,A09,"Digestives, incl. enzymes "
Citric Acid,DB04272,A09A,"Digestives, incl. enzymes "
Citric Acid,DB04272,A09AB,Acid preparations
Citric Acid,DB04272,D006401,Hematologic Agents 
Citric Acid,DB04272,D000925,Anticoagulants
Citric Acid,DB04272,D064449,Sequestering Agents 
Citric Acid,DB04272,D002614,Chelating Agents 
Citric Acid,DB04272,D065096,Calcium Chelating Agents
Hydrochloric Acid,DB13366,A09,"Digestives, incl. enzymes "
Hydrochloric Acid,DB13366,A09A,"Digestives, incl. enzymes "
Hydrochloric Acid,DB13366,A09AB,Acid preparations
Hydrochloric Acid,DB13366,B05,Blood substitutes and perfusion solutions 
Hydrochloric Acid,DB13366,B05X,I.v. solution additives 
Hydrochloric Acid,DB13366,B05XA,Electrolyte solutions
Phloroglucinol,DB12944,A03,Drugs for functional gastrointestinal disorders 
Phloroglucinol,DB12944,A03A,Drugs for functional gastrointestinal disorders
Phloroglucinol,DB12944,D019995,Laboratory Chemicals 
Phloroglucinol,DB12944,D007202,Indicators and Reagents
Bupropion,DB01156,C78272,Agent Affecting Nervous System 
Bupropion,DB01156,C265,Antidepressant Agent
Bupropion,DB01156,D002491,Central Nervous System Agents 
Bupropion,DB01156,D011619,Psychotropic Drugs 
Bupropion,DB01156,D000928,Antidepressive Agents
Bupropion,DB01156,D004791,Enzyme Inhibitors 
Bupropion,DB01156,D065607,Cytochrome P-450 Enzyme Inhibitors 
Bupropion,DB01156,D065690,Cytochrome P-450 CYP2D6 Inhibitors
Bupropion,DB01156,D018377,Neurotransmitter Agents 
Bupropion,DB01156,D014179,Neurotransmitter Uptake Inhibitors 
Bupropion,DB01156,D018765,Dopamine Uptake Inhibitors
Bupropion,DB01156,D018377,Neurotransmitter Agents 
Bupropion,DB01156,D015259,Dopamine Agents
Bupropion,DB01156,D049990,Membrane Transport Modulators
Bupropion,DB01156,N06,Psychoanaleptics 
Bupropion,DB01156,N06A,Antidepressants
Phosphonoacetic acid,DB02823,C254,Anti-Infective Agent 
Phosphonoacetic acid,DB02823,C281,Antiviral Agent
Phosphonoacetic acid,DB02823,C471,Enzyme Inhibitor 
Phosphonoacetic acid,DB02823,C29575,DNA Polymerase Inhibitor
Phosphonoacetic acid,DB02823,D000890,Anti-Infective Agents 
Phosphonoacetic acid,DB02823,D000998,Antiviral Agents 
Phosphonoacetic acid,DB02823,D018894,Reverse Transcriptase Inhibitors
Phosphonoacetic acid,DB02823,D004791,Enzyme Inhibitors 
Phosphonoacetic acid,DB02823,D019384,Nucleic Acid Synthesis Inhibitors
Phosphonoacetic acid,DB02823,J05,Antivirals for systemic use 
Phosphonoacetic acid,DB02823,J05A,Direct acting antivirals 
Phosphonoacetic acid,DB02823,J05AD,Phosphonic acid derivatives
Aminocaproic acid,DB00513,B02,Antihemorrhagics 
Aminocaproic acid,DB00513,B02A,Antifibrinolytics 
Aminocaproic acid,DB00513,B02AA,Amino acids
Aminocaproic acid,DB00513,C78275,Agent Affecting Blood or Body Fluid 
Aminocaproic acid,DB00513,C78311,Hemostatic Agent
Aminocaproic acid,DB00513,D006401,Hematologic Agents 
Aminocaproic acid,DB00513,D003029,Coagulants 
Aminocaproic acid,DB00513,D006490,Hemostatics
Aminocaproic acid,DB00513,D050299,Fibrin Modulating Agents 
Aminocaproic acid,DB00513,D000933,Antifibrinolytic Agents
Lactic Acid,DB04398,G01,Gynecological antiinfectives and antiseptics 
Lactic Acid,DB04398,G01A,"Antiinfectives and antiseptics, excl. combinations with corticosteroids "
Lactic Acid,DB04398,G01AD,Organic acids
Dimethyl Sulfoxide,DB01093,D000975,Antioxidants 
Dimethyl Sulfoxide,DB01093,D016166,Free Radical Scavengers
Dimethyl Sulfoxide,DB01093,D012997,Solvents
Dimethyl Sulfoxide,DB01093,D020011,Protective Agents 
Dimethyl Sulfoxide,DB01093,D000975,Antioxidants
Dimethyl Sulfoxide,DB01093,D020011,Protective Agents 
Dimethyl Sulfoxide,DB01093,D003451,Cryoprotective Agents
Dimethyl Sulfoxide,DB01093,G04,Urologicals 
Dimethyl Sulfoxide,DB01093,G04B,Urologicals
Dimethyl Sulfoxide,DB01093,M02,Topical products for joint and muscular pain 
Dimethyl Sulfoxide,DB01093,M02A,Topical products for joint and muscular pain
Dopamine,DB00988,C01,Cardiac therapy 
Dopamine,DB00988,C01C,Cardiac stimulants excl. cardiac glycosides 
Dopamine,DB00988,C01CA,Adrenergic and dopaminergic agents
Dopamine,DB00988,D002317,Cardiovascular Agents
Dopamine,DB00988,D018373,Peripheral Nervous System Agents 
Dopamine,DB00988,D001337,Autonomic Agents 
Dopamine,DB00988,D013566,Sympathomimetics
Dopamine,DB00988,D018377,Neurotransmitter Agents 
Dopamine,DB00988,D015259,Dopamine Agents
Dopamine,DB00988,D020011,Protective Agents 
Dopamine,DB00988,D002316,Cardiotonic Agents
Glycine,DB00145,B05,Blood substitutes and perfusion solutions 
Glycine,DB00145,B05C,Irrigating solutions
Glycine,DB00145,D018377,Neurotransmitter Agents 
Glycine,DB00145,D018684,Glycine Agents
Hydrogen Peroxide,DB11091,A01,Stomatological preparations 
Hydrogen Peroxide,DB11091,A01A,Stomatological preparations 
Hydrogen Peroxide,DB11091,A01AB,Antiinfectives and antiseptics for local oral treatment
Hydrogen Peroxide,DB11091,C254,Anti-Infective Agent 
Hydrogen Peroxide,DB11091,C28394,Topical Anti-Infective Agent
Hydrogen Peroxide,DB11091,D08,Antiseptics and disinfectants 
Hydrogen Peroxide,DB11091,D08A,Antiseptics and disinfectants
Hydrogen Peroxide,DB11091,D000890,Anti-Infective Agents
Hydrogen Peroxide,DB11091,D009676,Noxae 
Hydrogen Peroxide,DB11091,D016877,Oxidants 
Hydrogen Peroxide,DB11091,D010545,Peroxides
Hydrogen Peroxide,DB11091,S02,Otologicals 
Hydrogen Peroxide,DB11091,S02A,Antiinfectives 
Hydrogen Peroxide,DB11091,S02AA,Antiinfectives
Hydroquinone,DB09526,D009676,Noxae 
Hydroquinone,DB09526,D009153,Mutagens
Hydroquinone,DB09526,D020011,Protective Agents 
Hydroquinone,DB09526,D000975,Antioxidants
Hydroquinone,DB09526,D020011,Protective Agents 
Hydroquinone,DB09526,D011837,Radiation-Protective Agents
Iodine,DB05382,D08,Antiseptics and disinfectants 
Iodine,DB05382,D08A,Antiseptics and disinfectants 
Iodine,DB05382,D08AG,Iodine products
Iodine,DB05382,D000890,Anti-Infective Agents
Iodine,DB05382,D018977,Micronutrients 
Iodine,DB05382,D014131,Trace Elements
Racemethionine,DB13972,C26170,Protective Agent 
Racemethionine,DB13972,C2081,Hepatoprotective Agent
Racemethionine,DB13972,V03,All other therapeutic products 
Racemethionine,DB13972,V03A,All other therapeutic products 
Racemethionine,DB13972,V03AB,Antidotes
Inositol,DB03106,C26170,Protective Agent 
Inositol,DB03106,C1509,Neuroprotective Agent
Inositol,DB03106,A11,Vitamins
Melatonin,DB01065,C26170,Protective Agent 
Melatonin,DB01065,C275,Antioxidant
Melatonin,DB01065,D020011,Protective Agents 
Melatonin,DB01065,D000975,Antioxidants
Melatonin,DB01065,N05,Psycholeptics 
Melatonin,DB01065,N05C,Hypnotics and sedatives 
Melatonin,DB01065,N05CH,Melatonin receptor agonists
Melatonin,DB01065,C147908,Hormone Therapy Agent 
Melatonin,DB01065,C548,Therapeutic Hormone
Melatonin,DB01065,D006730,"Hormones, Hormone Substitutes, and Hormone Antagonists "
Melatonin,DB01065,D006728,Hormones
Melatonin,DB01065,D002491,Central Nervous System Agents 
Melatonin,DB01065,D002492,Central Nervous System Depressants
Niacinamide,DB02701,C26170,Protective Agent 
Niacinamide,DB02701,C275,Antioxidant
Niacinamide,DB02701,D018977,Micronutrients 
Niacinamide,DB02701,D014815,Vitamins
Niacinamide,DB02701,A11,Vitamins
Nicotinic acid,DB00627,D002317,Cardiovascular Agents 
Nicotinic acid,DB00627,D014665,Vasodilator Agents
Nicotinic acid,DB00627,D057847,Lipid Regulating Agents 
Nicotinic acid,DB00627,D000960,Hypolipidemic Agents
Nicotinic acid,DB00627,C04,Peripheral vasodilators 
Nicotinic acid,DB00627,C04A,Peripheral vasodilators 
Nicotinic acid,DB00627,C04AC,Nicotinic acid and derivatives
Nicotinic acid,DB00627,D018977,Micronutrients 
Nicotinic acid,DB00627,D014815,Vitamins
Nicotinic acid,DB00627,D009676,Noxae 
Nicotinic acid,DB00627,D000963,Antimetabolites
