primaryDomainId:ID,casNumber:string,dataSources:string[],displayName:string,domainIds:string[],drugGroups:string[],:LABEL,type:string
drugbank.DB00001,138068-37-8,drugbank,Lepirudin,drugbank.DB00001|drug_central.2990|drug_central.2995,,Drug,Drug
drugbank.DB00002,205923-56-4,drugbank,Cetuximab,drugbank.DB00002|drug_central.4954,,Drug,Drug
drugbank.DB00003,143831-71-4,drugbank,Dornase alfa,drugbank.DB00003|drug_central.5135,,Drug,Drug
drugbank.DB00004,173146-27-5,drugbank,Denileukin diftitox,drugbank.DB00004|drug_central.5087,,Drug,Drug
drugbank.DB00005,185243-69-0,drugbank,Etanercept,drugbank.DB00005|drug_central.4978,,Drug,Drug
drugbank.DB00006,128270-60-0,drugbank|unichem,Bivalirudin,drugbank.DB00006|drug_central.385|pubchem.101041682|pubchem.16129704|pubchem.73952246,,Drug,Drug
drugbank.DB00007,53714-56-0,drugbank|chembl|unichem,Leuprolide,drugbank.DB00007|drug_central.1559|pubchem.657181,approved,Drug,Drug
drugbank.DB00008,198153-51-4,drugbank,Peginterferon alfa-2a,drugbank.DB00008|drug_central.5158,,Drug,Drug
drugbank.DB00009,105857-23-6,drugbank,Alteplase,drugbank.DB00009|drug_central.5141,,Drug,Drug
drugbank.DB00010,86168-78-7,drugbank,Sermorelin,drugbank.DB00010|drug_central.2433,,Drug,Drug
drugbank.DB00011,74899-72-2,drugbank,Interferon alfa-n1,drugbank.DB00011,,Drug,Drug
drugbank.DB00012,209810-58-2,drugbank,Darbepoetin alfa,drugbank.DB00012|drug_central.5157,,Drug,Drug
drugbank.DB00013,9039-53-6,drugbank,Urokinase,drugbank.DB00013|drug_central.5109,,Drug,Drug
drugbank.DB00014,65807-02-5,drugbank|chembl|unichem,Goserelin,drugbank.DB00014|drug_central.1327|pubchem.5311128,approved,Drug,Drug
drugbank.DB00015,133652-38-7,drugbank,Reteplase,drugbank.DB00015|drug_central.5044,,Drug,Drug
drugbank.DB00016,11096-26-7,drugbank,Erythropoietin,drugbank.DB00016|drug_central.5160|drug_central.5170|drug_central.4995|drug_central.5007,,Drug,Drug
drugbank.DB00017,47931-85-1,drugbank,Salmon calcitonin,drugbank.DB00017|drug_central.2989,,Drug,Drug
drugbank.DB00018,,drugbank,Interferon alfa-n3,drugbank.DB00018,,Drug,Drug
drugbank.DB00019,208265-92-3,drugbank,Pegfilgrastim,drugbank.DB00019|drug_central.4986,,Drug,Drug
drugbank.DB00020,123774-72-1,drugbank,Sargramostim,drugbank.DB00020|drug_central.5025,,Drug,Drug
drugbank.DB00022,215647-85-1,drugbank,Peginterferon alfa-2b,drugbank.DB00022|drug_central.5164,,Drug,Drug
drugbank.DB00023,9015-68-3,drugbank,Asparaginase Escherichia coli,drugbank.DB00023|drug_central.5070,,Drug,Drug
drugbank.DB00024,194100-83-9,drugbank,Thyrotropin alfa,drugbank.DB00024|drug_central.4930,,Drug,Drug
drugbank.DB00025,139076-62-3,drugbank,"Antihemophilic factor, human recombinant",drugbank.DB00025|drug_central.5099,,Drug,Drug
drugbank.DB00026,143090-92-0,drugbank,Anakinra,drugbank.DB00026|drug_central.5017,,Drug,Drug
drugbank.DB00027,1405-97-6,drugbank|unichem,Gramicidin D,drugbank.DB00027|drug_central.4794|pubchem.45267103,,Drug,Drug
drugbank.DB00028,308067-58-5,drugbank,Human immunoglobulin G,drugbank.DB00028,,Drug,Drug
drugbank.DB00029,81669-57-0,drugbank,Anistreplase,drugbank.DB00029,,Drug,Drug
drugbank.DB00030,11061-68-0,drugbank,Insulin human,drugbank.DB00030|drug_central.5191|drug_central.5057|drug_central.4901|drug_central.4960|drug_central.4981|drug_central.4985|drug_central.5002|drug_central.5003,,Drug,Drug
drugbank.DB00031,191588-94-0,drugbank,Tenecteplase,drugbank.DB00031|drug_central.5066,,Drug,Drug
drugbank.DB00032,9002-68-0,drugbank,Menotropins,drugbank.DB00032,,Drug,Drug
drugbank.DB00033,98059-61-1,drugbank,Interferon gamma-1b,drugbank.DB00033,,Drug,Drug
drugbank.DB00034,76543-88-9,drugbank,Interferon alfa-2a,drugbank.DB00034,,Drug,Drug
drugbank.DB00035,16679-58-6,drugbank|chembl|unichem,Desmopressin,drugbank.DB00035|drug_central.817|pubchem.5311065,approved,Drug,Drug
drugbank.DB00036,102786-61-8,drugbank,Coagulation factor VIIa Recombinant Human,drugbank.DB00036|drug_central.5159,,Drug,Drug
drugbank.DB00038,145941-26-0,drugbank,Oprelvekin,drugbank.DB00038|drug_central.5026,,Drug,Drug
drugbank.DB00039,162394-19-6,drugbank,Palifermin,drugbank.DB00039|drug_central.4804,,Drug,Drug
drugbank.DB00040,16941-32-5,drugbank,Glucagon,drugbank.DB00040|drug_central.2994,,Drug,Drug
drugbank.DB00041,110942-02-4,drugbank,Aldesleukin,drugbank.DB00041|drug_central.5011,,Drug,Drug
drugbank.DB00042,93384-44-2,drugbank,Botulinum toxin type B,drugbank.DB00042,,Drug,Drug
drugbank.DB00043,242138-07-4,drugbank,Omalizumab,drugbank.DB00043|drug_central.4972,,Drug,Drug
drugbank.DB00044,152923-57-4,drugbank,Lutropin alfa,drugbank.DB00044|drug_central.4929,,Drug,Drug
drugbank.DB00045,,drugbank,Lyme disease vaccine (recombinant OspA),drugbank.DB00045,,Drug,Drug
drugbank.DB00046,133107-64-9,drugbank,Insulin lispro,drugbank.DB00046|drug_central.5002,,Drug,Drug
drugbank.DB00047,160337-95-1,drugbank,Insulin glargine,drugbank.DB00047|drug_central.4901,,Drug,Drug
drugbank.DB00048,9001-12-1,drugbank,Collagenase clostridium histolyticum,drugbank.DB00048|drug_central.5051,,Drug,Drug
drugbank.DB00049,134774-45-1,drugbank,Rasburicase,drugbank.DB00049|drug_central.4994,,Drug,Drug
drugbank.DB00050,120287-85-6,drugbank|chembl|unichem,Cetrorelix,drugbank.DB00050|drug_central.583|pubchem.25074887,approved,Drug,Drug
drugbank.DB00051,331731-18-1,drugbank,Adalimumab,drugbank.DB00051|drug_central.4904,,Drug,Drug
drugbank.DB00052,12629-01-5,drugbank,Somatotropin,drugbank.DB00052|drug_central.4848,,Drug,Drug
drugbank.DB00053,154248-97-2,drugbank,Imiglucerase,drugbank.DB00053|drug_central.4932,,Drug,Drug
drugbank.DB00054,143653-53-6,drugbank,Abciximab,drugbank.DB00054|drug_central.4950,,Drug,Drug
drugbank.DB00055,98530-76-8,drugbank,Drotrecogin alfa,drugbank.DB00055,,Drug,Drug
drugbank.DB00056,220578-59-6,drugbank,Gemtuzumab ozogamicin,drugbank.DB00056|drug_central.4980,,Drug,Drug
drugbank.DB00057,138955-27-8,drugbank,Indium In-111 satumomab pendetide,drugbank.DB00057,,Drug,Drug
drugbank.DB00058,9041-92-3,drugbank,Alpha-1-proteinase inhibitor,drugbank.DB00058,,Drug,Drug
drugbank.DB00059,130167-69-0,drugbank,Pegaspargase,drugbank.DB00059|drug_central.5082,,Drug,Drug
drugbank.DB00060,145258-61-3,drugbank,Interferon beta-1a,drugbank.DB00060|drug_central.5139,,Drug,Drug
drugbank.DB00061,130167-68-9,drugbank,Pegademase,drugbank.DB00061|drug_central.5206,,Drug,Drug
drugbank.DB00062,9048-46-8,drugbank,Albumin human,drugbank.DB00062,,Drug,Drug
drugbank.DB00063,188627-80-7,drugbank,Eptifibatide,drugbank.DB00063|drug_central.1040,,Drug,Drug
drugbank.DB00065,170277-31-3,drugbank,Infliximab,drugbank.DB00065|drug_central.4974,,Drug,Drug
drugbank.DB00066,146479-72-3,drugbank,Follitropin,drugbank.DB00066|drug_central.4928,,Drug,Drug
drugbank.DB00067,11000-17-2,drugbank|unichem,Vasopressin,drugbank.DB00067|drug_central.2810|pubchem.11979316,,Drug,Drug
drugbank.DB00068,145155-23-3,drugbank,Interferon beta-1b,drugbank.DB00068|drug_central.5140,,Drug,Drug
drugbank.DB00069,118390-30-0,drugbank,Interferon alfacon-1,drugbank.DB00069,,Drug,Drug
drugbank.DB00070,488712-31-8,drugbank,Hyaluronidase (ovine),drugbank.DB00070,,Drug,Drug
drugbank.DB00071,12584-58-6,drugbank,Insulin pork,drugbank.DB00071|drug_central.5191,,Drug,Drug
drugbank.DB00072,180288-69-1,drugbank,Trastuzumab,drugbank.DB00072|drug_central.4979,,Drug,Drug
drugbank.DB00073,174722-31-7,drugbank,Rituximab,drugbank.DB00073|drug_central.4975,,Drug,Drug
drugbank.DB00074,179045-86-4,drugbank,Basiliximab,drugbank.DB00074|drug_central.4940,,Drug,Drug
drugbank.DB00075,140608-64-6,drugbank,Muromonab,drugbank.DB00075|drug_central.5177,,Drug,Drug
drugbank.DB00076,,drugbank,Digoxin Immune Fab (Ovine),drugbank.DB00076,,Drug,Drug
drugbank.DB00078,206181-63-7,drugbank,Ibritumomab tiuxetan,drugbank.DB00078|drug_central.4984,,Drug,Drug
drugbank.DB00080,103060-53-3,drugbank|unichem,Daptomycin,drugbank.DB00080|drug_central.783|pubchem.21585658|pubchem.101589918,,Drug,Drug
drugbank.DB00081,208921-02-2,drugbank,Tositumomab,drugbank.DB00081,,Drug,Drug
drugbank.DB00082,218620-50-9,drugbank,Pegvisomant,drugbank.DB00082|drug_central.5015,,Drug,Drug
drugbank.DB00083,93384-43-1,drugbank,Botulinum toxin type A,drugbank.DB00083|drug_central.5331|drug_central.5368,,Drug,Drug
drugbank.DB00085,53608-75-6,drugbank,Pancrelipase,drugbank.DB00085|drug_central.5161,,Drug,Drug
drugbank.DB00086,9002-01-1,drugbank,Streptokinase,drugbank.DB00086,,Drug,Drug
drugbank.DB00087,216503-57-0,drugbank,Alemtuzumab,drugbank.DB00087|drug_central.4909,,Drug,Drug
drugbank.DB00088,143003-46-7,drugbank,Alglucerase,drugbank.DB00088|drug_central.5129,,Drug,Drug
drugbank.DB00089,145464-28-4,drugbank,Capromab pendetide,drugbank.DB00089,,Drug,Drug
drugbank.DB00090,210589-09-6,drugbank,Laronidase,drugbank.DB00090|drug_central.4997,,Drug,Drug
drugbank.DB00091,59865-13-3,drugbank|chembl|unichem,Cyclosporine,drugbank.DB00091|drug_central.760|pubchem.5284373,approved,Drug,Drug
drugbank.DB00092,222535-22-0,drugbank,Alefacept,drugbank.DB00092|drug_central.5088,,Drug,Drug
drugbank.DB00093,56-59-7,drugbank,Felypressin,drugbank.DB00093|drug_central.4910,,Drug,Drug
drugbank.DB00094,97048-13-0,drugbank,Urofollitropin,drugbank.DB00094|drug_central.4928,,Drug,Drug
drugbank.DB00095,214745-43-4,drugbank,Efalizumab,drugbank.DB00095|drug_central.4959,,Drug,Drug
drugbank.DB00097,177073-44-8,drugbank,Choriogonadotropin alfa,drugbank.DB00097|drug_central.5149,,Drug,Drug
drugbank.DB00098,308067-60-9,drugbank,Antithymocyte immunoglobulin (rabbit),drugbank.DB00098,,Drug,Drug
drugbank.DB00099,121181-53-1,drugbank,Filgrastim,drugbank.DB00099|drug_central.4987,,Drug,Drug
drugbank.DB00100,181054-95-5,drugbank,Coagulation Factor IX (Recombinant),drugbank.DB00100|drug_central.5163,,Drug,Drug
drugbank.DB00102,165101-51-9,drugbank,Becaplermin,drugbank.DB00102|drug_central.4925,,Drug,Drug
drugbank.DB00103,,drugbank,Agalsidase beta,drugbank.DB00103|drug_central.5018,,Drug,Drug
drugbank.DB00104,83150-76-9,drugbank,Octreotide,drugbank.DB00104|drug_central.1980,,Drug,Drug
drugbank.DB00105,98530-12-2,drugbank,Interferon alfa-2b,drugbank.DB00105|drug_central.5205,,Drug,Drug
drugbank.DB00106,183552-38-7,drugbank|chembl|unichem,Abarelix,drugbank.DB00106|drug_central.35|pubchem.16131215,approved,Drug,Drug
drugbank.DB00107,50-56-6,drugbank,Oxytocin,drugbank.DB00107|drug_central.2042,,Drug,Drug
drugbank.DB00108,189261-10-7,drugbank,Natalizumab,drugbank.DB00108|drug_central.4970,,Drug,Drug
drugbank.DB00109,159519-65-0,drugbank,Enfuvirtide,drugbank.DB00109|drug_central.1010,,Drug,Drug
drugbank.DB00110,188039-54-5,drugbank,Palivizumab,drugbank.DB00110|drug_central.4935,,Drug,Drug
drugbank.DB00111,152923-56-3,drugbank,Daclizumab,drugbank.DB00111|drug_central.4953,,Drug,Drug
drugbank.DB00112,216974-75-3,drugbank,Bevacizumab,drugbank.DB00112|drug_central.4956,,Drug,Drug
drugbank.DB00113,154361-49-6,drugbank,Technetium Tc-99m arcitumomab,drugbank.DB00113|drug_central.5127,,Drug,Drug
drugbank.DB00114,54-47-7,drugbank|unichem,Pyridoxal phosphate,drugbank.DB00114|drug_central.3506|pubchem.1051,,Drug,Drug
drugbank.DB00115,68-19-9,drugbank,Cyanocobalamin,drugbank.DB00115|drug_central.4196,,Drug,Drug
drugbank.DB00116,135-16-0,drugbank|unichem,Tetrahydrofolic acid,drugbank.DB00116|pubchem.135444742,,Drug,Drug
drugbank.DB00117,71-00-1,drugbank|unichem,Histidine,drugbank.DB00117|drug_central.1377|pubchem.6971009|pubchem.6274,,Drug,Drug
drugbank.DB00118,29908-03-0,drugbank|chembl|unichem,Ademetionine,drugbank.DB00118|drug_central.2414|pubchem.34755,approved,Drug,Drug
drugbank.DB00119,127-17-3,drugbank|unichem,Pyruvic acid,drugbank.DB00119|pubchem.1060,,Drug,Drug
drugbank.DB00120,63-91-2,drugbank|unichem,Phenylalanine,drugbank.DB00120|drug_central.2144|pubchem.6925665|pubchem.6140,,Drug,Drug
drugbank.DB00121,58-85-5,drugbank|chembl|unichem,Biotin,drugbank.DB00121|drug_central.373|pubchem.171548,approved,Drug,Drug
drugbank.DB00122,62-49-7,drugbank|unichem,Choline,drugbank.DB00122|drug_central.3097|drug_central.627|drug_central.4390|drug_central.4662|drug_central.2155|drug_central.3708|pubchem.305,,Drug,Drug
drugbank.DB00123,56-87-1,drugbank|chembl|unichem,Lysine,drugbank.DB00123|drug_central.1622|drug_central.3892|drug_central.4453|pubchem.122198194|pubchem.71774817|pubchem.5962,approved,Drug,Drug
drugbank.DB00125,74-79-3,drugbank|unichem,Arginine,drugbank.DB00125|drug_central.1549|pubchem.6322|pubchem.28782,,Drug,Drug
drugbank.DB00126,50-81-7,drugbank|chembl|unichem,Ascorbic acid,drugbank.DB00126|drug_central.4072|pubchem.54670067,approved,Drug,Drug
drugbank.DB00127,71-44-3,drugbank|unichem,Spermine,drugbank.DB00127|pubchem.1103,,Drug,Drug
drugbank.DB00128,56-84-8,drugbank|unichem,Aspartic acid,drugbank.DB00128|drug_central.1550|pubchem.5960|pubchem.139060126|pubchem.44367445,,Drug,Drug
drugbank.DB00129,70-26-8,drugbank|unichem,Ornithine,drugbank.DB00129|drug_central.3401|pubchem.6262|pubchem.88747248,,Drug,Drug
drugbank.DB00130,56-85-9,drugbank|chembl|unichem,L-Glutamine,drugbank.DB00130|drug_central.1311|pubchem.6992086|pubchem.5961,approved,Drug,Drug
drugbank.DB00131,61-19-8,drugbank|chembl|unichem,Adenosine phosphate,drugbank.DB00131|drug_central.92|pubchem.6083,approved,Drug,Drug
drugbank.DB00132,463-40-1,drugbank|unichem,alpha-Linolenic acid,drugbank.DB00132|drug_central.4618|pubchem.5280934,,Drug,Drug
drugbank.DB00133,56-45-1,drugbank|unichem,Serine,drugbank.DB00133|drug_central.4127|pubchem.5951|pubchem.6857581,,Drug,Drug
drugbank.DB00134,63-68-3,drugbank|chembl|unichem,Methionine,drugbank.DB00134|drug_central.3347|pubchem.6137|pubchem.6992087,approved,Drug,Drug
drugbank.DB00135,60-18-4,drugbank|chembl|unichem,Tyrosine,drugbank.DB00135|drug_central.2786|pubchem.6057|pubchem.6942100,approved,Drug,Drug
drugbank.DB00136,32222-06-3,drugbank|chembl|unichem,Calcitriol,drugbank.DB00136|drug_central.466|pubchem.5280453,approved,Drug,Drug
drugbank.DB00137,127-40-2,drugbank|unichem,Lutein,drugbank.DB00137|drug_central.4145|pubchem.5281243,,Drug,Drug
drugbank.DB00138,56-89-3,drugbank|chembl|unichem,Cystine,drugbank.DB00138|drug_central.4130|pubchem.67678|pubchem.6992103,approved,Drug,Drug
drugbank.DB00139,110-15-6,drugbank|unichem,Succinic acid,drugbank.DB00139|drug_central.2487|pubchem.1110|pubchem.21952380,,Drug,Drug
drugbank.DB00140,83-88-5,drugbank|chembl|unichem,Riboflavin,drugbank.DB00140|drug_central.2834|pubchem.493570,approved,Drug,Drug
drugbank.DB00141,7512-17-6,drugbank|unichem,N-Acetylglucosamine,drugbank.DB00141|drug_central.4615|pubchem.1738118,,Drug,Drug
drugbank.DB00142,56-86-0,drugbank|unichem,Glutamic acid,drugbank.DB00142|drug_central.1310|pubchem.33032|pubchem.44272391|pubchem.88747398,,Drug,Drug
drugbank.DB00143,70-18-8,drugbank|unichem,Glutathione,drugbank.DB00143|drug_central.1312|pubchem.25246407|pubchem.124886,,Drug,Drug
drugbank.DB00144,1446756-47-3,drugbank|unichem,Phosphatidyl serine,drugbank.DB00144|pubchem.9547096|pubchem.91746197,,Drug,Drug
drugbank.DB00145,56-40-6,drugbank|chembl|unichem,Glycine,drugbank.DB00145|drug_central.1319|pubchem.5257127|pubchem.750,approved,Drug,Drug
drugbank.DB00146,19356-17-3,drugbank|chembl|unichem,Calcifediol,drugbank.DB00146|drug_central.464|pubchem.5283731,approved,Drug,Drug
drugbank.DB00147,66-72-8,drugbank|unichem,Pyridoxal,drugbank.DB00147|drug_central.4134|drug_central.3506|pubchem.1050,,Drug,Drug
drugbank.DB00148,57-00-1,drugbank|unichem,Creatine,drugbank.DB00148|drug_central.4661|pubchem.586,,Drug,Drug
drugbank.DB00149,61-90-5,drugbank|unichem,Leucine,drugbank.DB00149|drug_central.1557|pubchem.6106|pubchem.7045798,,Drug,Drug
drugbank.DB00150,73-22-3,drugbank|chembl|unichem,Tryptophan,drugbank.DB00150|drug_central.2780|pubchem.6923516|pubchem.6305,approved,Drug,Drug
drugbank.DB00151,52-90-4,drugbank|chembl|unichem,Cysteine,drugbank.DB00151|drug_central.769|pubchem.5862|pubchem.6419722,approved,Drug,Drug
drugbank.DB00152,70-16-6,drugbank|chembl|unichem,Thiamine,drugbank.DB00152|drug_central.2832|pubchem.1130,approved,Drug,Drug
drugbank.DB00153,50-14-6,drugbank|chembl|unichem,Ergocalciferol,drugbank.DB00153|drug_central.2838|pubchem.5280793,approved,Drug,Drug
drugbank.DB00154,1783-84-2,drugbank|unichem,Dihomo-gamma-linolenic acid,drugbank.DB00154|pubchem.5280581,,Drug,Drug
drugbank.DB00155,372-75-8,drugbank|unichem,Citrulline,drugbank.DB00155|drug_central.3103|pubchem.9750|pubchem.6992098,,Drug,Drug
drugbank.DB00156,72-19-5,drugbank|unichem,Threonine,drugbank.DB00156|drug_central.4254|pubchem.6288|pubchem.6971019,,Drug,Drug
drugbank.DB00157,58-68-4,drugbank|unichem,NADH,drugbank.DB00157|pubchem.439153,,Drug,Drug
drugbank.DB00158,59-30-3,drugbank|chembl|unichem,Folic acid,drugbank.DB00158|drug_central.1231|pubchem.135398658|pubchem.6037,approved,Drug,Drug
drugbank.DB00159,10417-94-4,drugbank|unichem,Icosapent,drugbank.DB00159|drug_central.3174|pubchem.446284,,Drug,Drug
drugbank.DB00160,56-41-7,drugbank|unichem,Alanine,drugbank.DB00160|drug_central.4255|pubchem.7311724|pubchem.5950,,Drug,Drug
drugbank.DB00161,72-18-4,drugbank|unichem,Valine,drugbank.DB00161|drug_central.4128|pubchem.6971018|pubchem.88733505|pubchem.6287,,Drug,Drug
drugbank.DB00162,68-26-8,drugbank|chembl|unichem,Vitamin A,drugbank.DB00162|drug_central.2831|drug_central.2372|drug_central.4197|pubchem.445354,approved,Drug,Drug
drugbank.DB00163,59-02-9,drugbank|unichem,Vitamin E,drugbank.DB00163|drug_central.3613|drug_central.4280|pubchem.14985,,Drug,Drug
drugbank.DB00165,65-23-6,drugbank|chembl|unichem,Pyridoxine,drugbank.DB00165|drug_central.2836|pubchem.1054,approved,Drug,Drug
drugbank.DB00166,1200-22-2,drugbank|unichem,Lipoic acid,drugbank.DB00166|drug_central.4732|pubchem.6112,,Drug,Drug
drugbank.DB00167,73-32-5,drugbank|unichem,Isoleucine,drugbank.DB00167|drug_central.4129|pubchem.7043901|pubchem.6306,,Drug,Drug
drugbank.DB00168,22839-47-0,drugbank|unichem,Aspartame,drugbank.DB00168|pubchem.134601|pubchem.6992066,,Drug,Drug
drugbank.DB00169,67-97-0,drugbank|chembl|unichem,Cholecalciferol,drugbank.DB00169|drug_central.2840|pubchem.5280795,approved,Drug,Drug
drugbank.DB00170,58-27-5,drugbank|chembl|unichem,Menadione,drugbank.DB00170|drug_central.1683|pubchem.4055,approved,Drug,Drug
drugbank.DB00171,56-65-5,drugbank|unichem,ATP,drugbank.DB00171|drug_central.91|pubchem.5957,,Drug,Drug
drugbank.DB00172,147-85-3,drugbank|unichem,Proline,drugbank.DB00172|drug_central.4125|pubchem.145742|pubchem.6971047,,Drug,Drug
drugbank.DB00173,73-24-5,drugbank|unichem,Adenine,drugbank.DB00173|drug_central.89|pubchem.190,,Drug,Drug
drugbank.DB00174,70-47-3,drugbank|unichem,Asparagine,drugbank.DB00174|drug_central.4126|pubchem.6992089|pubchem.6267,,Drug,Drug
drugbank.DB00175,81093-37-0,drugbank|chembl|unichem,Pravastatin,drugbank.DB00175|drug_central.2239|pubchem.54687,approved,Drug,Drug
drugbank.DB00176,54739-18-3,drugbank|chembl|unichem,Fluvoxamine,drugbank.DB00176|drug_central.1230|pubchem.5324346,approved,Drug,Drug
drugbank.DB00177,137862-53-4,drugbank|chembl|unichem,Valsartan,drugbank.DB00177|drug_central.2806|pubchem.60846,approved,Drug,Drug
drugbank.DB00178,87333-19-5,drugbank|chembl|unichem,Ramipril,drugbank.DB00178|drug_central.2356|pubchem.5362129|pubchem.6992028,approved,Drug,Drug
drugbank.DB00179,27686-84-6,drugbank|chembl|unichem,Masoprocol,drugbank.DB00179|drug_central.1637|pubchem.71398,approved,Drug,Drug
drugbank.DB00180,3385-03-3,drugbank|chembl|unichem,Flunisolide,drugbank.DB00180|drug_central.1201|pubchem.82153,approved,Drug,Drug
drugbank.DB00181,1134-47-0,drugbank|chembl|unichem,Baclofen,drugbank.DB00181|drug_central.282|pubchem.2284,approved,Drug,Drug
drugbank.DB00182,300-62-9,drugbank|chembl|unichem,Amphetamine,drugbank.DB00182|drug_central.195|pubchem.3007,approved,Drug,Drug
drugbank.DB00183,5534-95-2,drugbank|chembl|unichem,Pentagastrin,drugbank.DB00183|drug_central.2088|pubchem.9853654,approved,Drug,Drug
drugbank.DB00184,54-11-5,drugbank|chembl|unichem,Nicotine,drugbank.DB00184|drug_central.1920|pubchem.89594,approved,Drug,Drug
drugbank.DB00185,107233-08-9,drugbank|unichem,Cevimeline,drugbank.DB00185|drug_central.584|pubchem.25137844,,Drug,Drug
drugbank.DB00186,846-49-1,drugbank|chembl|unichem,Lorazepam,drugbank.DB00186|drug_central.1606|pubchem.3958,approved,Drug,Drug
drugbank.DB00187,81147-92-4,drugbank|chembl|unichem,Esmolol,drugbank.DB00187|drug_central.1054|pubchem.59768,approved,Drug,Drug
