drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q8WUI4,HDAC7,ENSG00000061273,DB04855|Q8WUI4,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P07947,YES1,ENSG00000176105,DB04855|P07947,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P09884,POLA1,ENSG00000101868,DB04855|P09884,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q92769,HDAC2,ENSG00000196591,DB04855|Q92769,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P06748,NPM1,ENSG00000181163,DB04855|P06748,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P12931,SRC,ENSG00000197122,DB04855|P12931,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,O15379,HDAC3,ENSG00000171720,DB04855|O15379,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q9BQE3,TUBA1C,ENSG00000167553,DB04855|Q9BQE3,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q9UKV0,HDAC9,ENSG00000048052,DB04855|Q9UKV0,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P12268,IMPDH2,ENSG00000178035,DB04855|P12268,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q13547,HDAC1,ENSG00000116478,DB04855|Q13547,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q71U36,TUBA1A,ENSG00000167552,DB04855|Q71U36,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P56524,HDAC4,ENSG00000068024,DB04855|P56524,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P04629,NTRK1,ENSG00000198400,DB04855|P04629,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,P06241,FYN,ENSG00000010810,DB04855|P06241,,
DB04855,7.155287739337206e-05,4.14537289704135,1,Dronedarone,C01,Cardiac therapy ,Q9UQL6,HDAC5,ENSG00000108840,DB04855|Q9UQL6,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q8WUI4,HDAC7,ENSG00000061273,DB09083|Q8WUI4,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P07947,YES1,ENSG00000176105,DB09083|P07947,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P09884,POLA1,ENSG00000101868,DB09083|P09884,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q92769,HDAC2,ENSG00000196591,DB09083|Q92769,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P06748,NPM1,ENSG00000181163,DB09083|P06748,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P12931,SRC,ENSG00000197122,DB09083|P12931,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,O15379,HDAC3,ENSG00000171720,DB09083|O15379,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q9BQE3,TUBA1C,ENSG00000167553,DB09083|Q9BQE3,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q9UKV0,HDAC9,ENSG00000048052,DB09083|Q9UKV0,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P12268,IMPDH2,ENSG00000178035,DB09083|P12268,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q13547,HDAC1,ENSG00000116478,DB09083|Q13547,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q71U36,TUBA1A,ENSG00000167552,DB09083|Q71U36,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P56524,HDAC4,ENSG00000068024,DB09083|P56524,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P04629,NTRK1,ENSG00000198400,DB09083|P04629,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,P06241,FYN,ENSG00000010810,DB09083|P06241,,
DB09083,6.130419255089772e-05,4.212509823369727,2,Ivabradine,C01,Cardiac therapy,Q9UQL6,HDAC5,ENSG00000108840,DB09083|Q9UQL6,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q8WUI4,HDAC7,ENSG00000061273,DB12010|Q8WUI4,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P07947,YES1,ENSG00000176105,DB12010|P07947,target_negativeEffect,inhibitor
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P09884,POLA1,ENSG00000101868,DB12010|P09884,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q92769,HDAC2,ENSG00000196591,DB12010|Q92769,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P06748,NPM1,ENSG00000181163,DB12010|P06748,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P12931,SRC,ENSG00000197122,DB12010|P12931,target_negativeEffect,inhibitor
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,O15379,HDAC3,ENSG00000171720,DB12010|O15379,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q9BQE3,TUBA1C,ENSG00000167553,DB12010|Q9BQE3,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q9UKV0,HDAC9,ENSG00000048052,DB12010|Q9UKV0,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P12268,IMPDH2,ENSG00000178035,DB12010|P12268,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q13547,HDAC1,ENSG00000116478,DB12010|Q13547,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q71U36,TUBA1A,ENSG00000167552,DB12010|Q71U36,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P56524,HDAC4,ENSG00000068024,DB12010|P56524,,
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P04629,NTRK1,ENSG00000198400,DB12010|P04629,target_negativeEffect,inhibitor
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,P06241,FYN,ENSG00000010810,DB12010|P06241,target_negativeEffect,inhibitor
DB12010,5.734557785541756e-05,4.241500066638697,3,Fostamatinib,B02,Antihemorrhagics ,Q9UQL6,HDAC5,ENSG00000108840,DB12010|Q9UQL6,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,Q8WUI4,HDAC7,ENSG00000061273,DB01268|Q8WUI4,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P07947,YES1,ENSG00000176105,DB01268|P07947,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P09884,POLA1,ENSG00000101868,DB01268|P09884,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,Q92769,HDAC2,ENSG00000196591,DB01268|Q92769,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P06748,NPM1,ENSG00000181163,DB01268|P06748,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P12931,SRC,ENSG00000197122,DB01268|P12931,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,O15379,HDAC3,ENSG00000171720,DB01268|O15379,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,Q9BQE3,TUBA1C,ENSG00000167553,DB01268|Q9BQE3,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,Q9UKV0,HDAC9,ENSG00000048052,DB01268|Q9UKV0,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P12268,IMPDH2,ENSG00000178035,DB01268|P12268,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB01268|Q13547,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,Q71U36,TUBA1A,ENSG00000167552,DB01268|Q71U36,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P56524,HDAC4,ENSG00000068024,DB01268|P56524,,
DB01268,5.267650764308077e-05,4.278383025692322,4,Sunitinib,L01,Antineoplastic agents ,P04629,NTRK1,ENSG00000198400,DB01268|P04629,,
