Module_id	drugstone_link	link_raw
Immune_Evasion.hypothalamus.robust	<a href=https://drugst.one/?id=f0b1da05af114325aedd76bb613d35b5>Immune_Evasion.hypothalamus.robust</a>	https://drugst.one/?id=f0b1da05af114325aedd76bb613d35b5
Immune_Evasion.amygdala.no_tool	<a href=https://drugst.one/?id=a97b544763b34b079c35ddb919f53b40>Immune_Evasion.amygdala.no_tool</a>	https://drugst.one/?id=a97b544763b34b079c35ddb919f53b40
Immune_Evasion.hypothalamus.diamond	<a href=https://drugst.one/?id=c9faf9c122c4428fa8b560d952411d49>Immune_Evasion.hypothalamus.diamond</a>	https://drugst.one/?id=c9faf9c122c4428fa8b560d952411d49
Immune_Evasion.brain.domino	<a href=https://drugst.one/?id=d57be9b830d24367a483dc7272185bbe>Immune_Evasion.brain.domino</a>	https://drugst.one/?id=d57be9b830d24367a483dc7272185bbe
Immune_Evasion.salivary_gland.domino	<a href=https://drugst.one/?id=3887b0558b764821b0a6326c785d01d0>Immune_Evasion.salivary_gland.domino</a>	https://drugst.one/?id=3887b0558b764821b0a6326c785d01d0
Immune_Evasion.salivary_gland.rwr	<a href=https://drugst.one/?id=6990479da8db4bd6b74fba474ae8ced2>Immune_Evasion.salivary_gland.rwr</a>	https://drugst.one/?id=6990479da8db4bd6b74fba474ae8ced2
Immune_Evasion.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=d5443252e0c6477dbf6cb1619facc33d>Immune_Evasion.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=d5443252e0c6477dbf6cb1619facc33d
Immune_Evasion.uniprot_ppi.robust	<a href=https://drugst.one/?id=fb96b0baac4345dbbee788a1004fd03c>Immune_Evasion.uniprot_ppi.robust</a>	https://drugst.one/?id=fb96b0baac4345dbbee788a1004fd03c
Immune_Evasion.amygdala.diamond	<a href=https://drugst.one/?id=9d0c4763b3a64142ba51ae921f3f2421>Immune_Evasion.amygdala.diamond</a>	https://drugst.one/?id=9d0c4763b3a64142ba51ae921f3f2421
Immune_Evasion.hypothalamus.rwr	<a href=https://drugst.one/?id=55f9ce405df7459d9e785ac94f27f687>Immune_Evasion.hypothalamus.rwr</a>	https://drugst.one/?id=55f9ce405df7459d9e785ac94f27f687
Immune_Evasion.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=ec8f414dd43b410ab56f42902e19a57e>Immune_Evasion.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=ec8f414dd43b410ab56f42902e19a57e
Immune_Evasion.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=d20c952110c44be7a69efa7de5d8e71f>Immune_Evasion.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=d20c952110c44be7a69efa7de5d8e71f
Immune_Evasion.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=d81e0377fd954a8bad34693c6424163a>Immune_Evasion.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=d81e0377fd954a8bad34693c6424163a
Immune_Evasion.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=6e3a48e186434b9799dd279a2bee9a04>Immune_Evasion.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=6e3a48e186434b9799dd279a2bee9a04
Immune_Evasion.brain.robust	<a href=https://drugst.one/?id=b4e9c3f54a664391928cc2a66d9be017>Immune_Evasion.brain.robust</a>	https://drugst.one/?id=b4e9c3f54a664391928cc2a66d9be017
Immune_Evasion.uniprot_ppi.rwr	<a href=https://drugst.one/?id=53a4a892d44d44f6b549d2a5d5d80141>Immune_Evasion.uniprot_ppi.rwr</a>	https://drugst.one/?id=53a4a892d44d44f6b549d2a5d5d80141
Immune_Evasion.hypothalamus.domino	<a href=https://drugst.one/?id=4a8bd337baa14c8b907c7d9c690e062a>Immune_Evasion.hypothalamus.domino</a>	https://drugst.one/?id=4a8bd337baa14c8b907c7d9c690e062a
Immune_Evasion.amygdala.robust	<a href=https://drugst.one/?id=eb2ede7f06f9406f9a4bba85cae9534f>Immune_Evasion.amygdala.robust</a>	https://drugst.one/?id=eb2ede7f06f9406f9a4bba85cae9534f
Immune_Evasion.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=f24bc82fb8a942da901e9add74129aea>Immune_Evasion.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=f24bc82fb8a942da901e9add74129aea
