Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Host_Membrane.amygdala.diamond	352	9454	152	5.0	25	328	2	24
Host_Membrane.amygdala.domino	177	594	38	8.0	1	177	1	0
Host_Membrane.amygdala.firstneighbor	5731	150032	152	5.0	1	5731	1	0
Host_Membrane.amygdala.no_tool	152	243	152	7.0	63	88	0	60
Host_Membrane.amygdala.robust	338	518	152	11.0	9	330	1	8
Host_Membrane.amygdala.robust_bias_aware	337	528	152	9.0	11	326	1	9
Host_Membrane.amygdala.rwr	368	4436	152	6.0	1	368	1	0
Host_Membrane.brain.diamond	357	9520	157	5.0	26	332	2	25
Host_Membrane.brain.domino	172	593	41	7.0	1	172	1	0
Host_Membrane.brain.firstneighbor	5855	153579	157	6.0	1	5855	1	0
Host_Membrane.brain.no_tool	157	249	157	7.0	63	92	0	59
Host_Membrane.brain.robust	341	505	157	12.0	12	330	1	11
Host_Membrane.brain.robust_bias_aware	341	517	157	10.0	12	329	1	10
Host_Membrane.brain.rwr	379	4546	157	6.0	1	379	1	0
Host_Membrane.dorsal_root_ganglia.diamond	363	9446	163	5.0	27	337	2	26
Host_Membrane.dorsal_root_ganglia.domino	210	719	45	8.0	1	210	1	0
Host_Membrane.dorsal_root_ganglia.firstneighbor	5996	160982	163	5.0	1	5996	1	0
Host_Membrane.dorsal_root_ganglia.no_tool	163	256	163	7.0	66	96	0	63
Host_Membrane.dorsal_root_ganglia.robust	351	519	163	10.0	12	339	1	10
Host_Membrane.dorsal_root_ganglia.robust_bias_aware	354	533	163	10.0	9	346	1	8
Host_Membrane.dorsal_root_ganglia.rwr	387	4721	163	6.0	1	387	1	0
Host_Membrane.hypothalamus.diamond	353	9472	153	5.0	25	329	2	24
Host_Membrane.hypothalamus.domino	226	923	30	7.0	1	226	1	0
Host_Membrane.hypothalamus.firstneighbor	5778	151936	153	6.0	1	5778	1	0
Host_Membrane.hypothalamus.no_tool	153	245	153	7.0	62	89	0	58
Host_Membrane.hypothalamus.robust	338	521	153	8.0	10	327	1	7
Host_Membrane.hypothalamus.robust_bias_aware	330	517	153	1.0	12	317	1	9
Host_Membrane.hypothalamus.rwr	373	4378	153	6.0	1	373	1	0
Host_Membrane.salivary_gland.diamond	354	9387	154	5.0	25	330	2	24
Host_Membrane.salivary_gland.domino	214	704	36	7.0	2	209	1	0
Host_Membrane.salivary_gland.firstneighbor	5812	155633	154	6.0	1	5812	1	0
Host_Membrane.salivary_gland.no_tool	154	246	154	7.0	64	89	0	61
Host_Membrane.salivary_gland.robust	336	508	154	10.0	12	324	1	10
Host_Membrane.salivary_gland.robust_bias_aware	333	508	154	0	12	321	1	10
Host_Membrane.salivary_gland.rwr	368	4371	154	6.0	1	368	1	0
Host_Membrane.uniprot_ppi.diamond	390	11001	190	5.0	33	358	2	32
Host_Membrane.uniprot_ppi.domino	240	849	49	7.0	1	240	1	0
Host_Membrane.uniprot_ppi.firstneighbor	7789	215585	190	6.0	1	7789	1	0
Host_Membrane.uniprot_ppi.no_tool	190	321	190	7.0	74	111	0	69
Host_Membrane.uniprot_ppi.robust	421	634	190	10.0	13	406	1	9
Host_Membrane.uniprot_ppi.robust_bias_aware	421	634	190	11.0	14	407	1	12
Host_Membrane.uniprot_ppi.rwr	496	6729	190	6.0	1	496	1	0
