Sample	drugstone_link	link_raw
Host_Membrane.amygdala.diamond	<a href=https://drugst.one/?id=f91465a2bc6c4a6abb8e87e660cb79e3>Host_Membrane.amygdala.diamond</a>	https://drugst.one/?id=f91465a2bc6c4a6abb8e87e660cb79e3
Host_Membrane.amygdala.domino	<a href=https://drugst.one/?id=07dbbfdcbc314ed3a8d6d60497c201bf>Host_Membrane.amygdala.domino</a>	https://drugst.one/?id=07dbbfdcbc314ed3a8d6d60497c201bf
Host_Membrane.amygdala.no_tool	<a href=https://drugst.one/?id=bc08ab5e9c174f7b961299b3856433d6>Host_Membrane.amygdala.no_tool</a>	https://drugst.one/?id=bc08ab5e9c174f7b961299b3856433d6
Host_Membrane.amygdala.robust	<a href=https://drugst.one/?id=a317a5fc63a84ecea8c73e731d024331>Host_Membrane.amygdala.robust</a>	https://drugst.one/?id=a317a5fc63a84ecea8c73e731d024331
Host_Membrane.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=1a5da5ff95d64f96ad2cad343db943f1>Host_Membrane.amygdala.robust_bias_aware</a>	https://drugst.one/?id=1a5da5ff95d64f96ad2cad343db943f1
Host_Membrane.amygdala.rwr	<a href=https://drugst.one/?id=0177b43c3c5b4e1d80f1dd9132118f13>Host_Membrane.amygdala.rwr</a>	https://drugst.one/?id=0177b43c3c5b4e1d80f1dd9132118f13
Host_Membrane.brain.diamond	<a href=https://drugst.one/?id=6e965cfcae1b4ffdaf2f0aa0bc4f3b1a>Host_Membrane.brain.diamond</a>	https://drugst.one/?id=6e965cfcae1b4ffdaf2f0aa0bc4f3b1a
Host_Membrane.brain.domino	<a href=https://drugst.one/?id=9db3453472974d5e80c219acc89bc419>Host_Membrane.brain.domino</a>	https://drugst.one/?id=9db3453472974d5e80c219acc89bc419
Host_Membrane.brain.no_tool	<a href=https://drugst.one/?id=3aa38efce536419790000faba1301ce6>Host_Membrane.brain.no_tool</a>	https://drugst.one/?id=3aa38efce536419790000faba1301ce6
Host_Membrane.brain.robust	<a href=https://drugst.one/?id=641a9c279baf40fa8f9c08f414ebb51a>Host_Membrane.brain.robust</a>	https://drugst.one/?id=641a9c279baf40fa8f9c08f414ebb51a
Host_Membrane.brain.robust_bias_aware	<a href=https://drugst.one/?id=f18fec45a0e8444baec1f2e6e8a2e44f>Host_Membrane.brain.robust_bias_aware</a>	https://drugst.one/?id=f18fec45a0e8444baec1f2e6e8a2e44f
Host_Membrane.brain.rwr	<a href=https://drugst.one/?id=3198775b1b0d47b3977985cabc868d90>Host_Membrane.brain.rwr</a>	https://drugst.one/?id=3198775b1b0d47b3977985cabc868d90
Host_Membrane.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=471686b3f8ae4df4ac15a32540138f13>Host_Membrane.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=471686b3f8ae4df4ac15a32540138f13
Host_Membrane.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=b41cbf523a3d4ee19e73df8e547dd1d3>Host_Membrane.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=b41cbf523a3d4ee19e73df8e547dd1d3
Host_Membrane.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=062697503e7742c79e491f7ddac703cb>Host_Membrane.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=062697503e7742c79e491f7ddac703cb
Host_Membrane.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=3193eb81602549a3aaca1eb6371e742d>Host_Membrane.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=3193eb81602549a3aaca1eb6371e742d
Host_Membrane.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=6ab9ed2922614de9a698a7d3717b8baf>Host_Membrane.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=6ab9ed2922614de9a698a7d3717b8baf
Host_Membrane.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=e4d16132400742a3b684b2b9707e7adc>Host_Membrane.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=e4d16132400742a3b684b2b9707e7adc
Host_Membrane.hypothalamus.diamond	<a href=https://drugst.one/?id=7ebb9f5f4d46438790109e6fbd0d478e>Host_Membrane.hypothalamus.diamond</a>	https://drugst.one/?id=7ebb9f5f4d46438790109e6fbd0d478e
Host_Membrane.hypothalamus.domino	<a href=https://drugst.one/?id=c80ad8fd942043469e4d304af2acad3c>Host_Membrane.hypothalamus.domino</a>	https://drugst.one/?id=c80ad8fd942043469e4d304af2acad3c
Host_Membrane.hypothalamus.no_tool	<a href=https://drugst.one/?id=a94f0c970fad42f8af2b83f42a77187d>Host_Membrane.hypothalamus.no_tool</a>	https://drugst.one/?id=a94f0c970fad42f8af2b83f42a77187d
Host_Membrane.hypothalamus.robust	<a href=https://drugst.one/?id=aa2da154dcf145afbc2bc38bc86a37ad>Host_Membrane.hypothalamus.robust</a>	https://drugst.one/?id=aa2da154dcf145afbc2bc38bc86a37ad
Host_Membrane.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=1b6ec80fb5e04664a677a177bbb813f8>Host_Membrane.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=1b6ec80fb5e04664a677a177bbb813f8
Host_Membrane.hypothalamus.rwr	<a href=https://drugst.one/?id=e78e59bed6d2433ca864016e1f736382>Host_Membrane.hypothalamus.rwr</a>	https://drugst.one/?id=e78e59bed6d2433ca864016e1f736382
Host_Membrane.salivary_gland.diamond	<a href=https://drugst.one/?id=2bedaf17c8b44502a50893b2998bacbe>Host_Membrane.salivary_gland.diamond</a>	https://drugst.one/?id=2bedaf17c8b44502a50893b2998bacbe
Host_Membrane.salivary_gland.domino	<a href=https://drugst.one/?id=0ffbe13f8648429886eb06f1613dd247>Host_Membrane.salivary_gland.domino</a>	https://drugst.one/?id=0ffbe13f8648429886eb06f1613dd247
Host_Membrane.salivary_gland.no_tool	<a href=https://drugst.one/?id=97ea8f7ae03d4bce91e421aedcdc4b1f>Host_Membrane.salivary_gland.no_tool</a>	https://drugst.one/?id=97ea8f7ae03d4bce91e421aedcdc4b1f
Host_Membrane.salivary_gland.robust	<a href=https://drugst.one/?id=28125ae175bf47d8bca4da578a3dec1e>Host_Membrane.salivary_gland.robust</a>	https://drugst.one/?id=28125ae175bf47d8bca4da578a3dec1e
Host_Membrane.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=eab2e2b171b0418a8c4a0fb67c6943a3>Host_Membrane.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=eab2e2b171b0418a8c4a0fb67c6943a3
Host_Membrane.salivary_gland.rwr	<a href=https://drugst.one/?id=d85a1234ca974c8bb9cb4c33882c8c7c>Host_Membrane.salivary_gland.rwr</a>	https://drugst.one/?id=d85a1234ca974c8bb9cb4c33882c8c7c
Host_Membrane.uniprot_ppi.diamond	<a href=https://drugst.one/?id=ff62645a12dc45c8a151c6b8fc2fca30>Host_Membrane.uniprot_ppi.diamond</a>	https://drugst.one/?id=ff62645a12dc45c8a151c6b8fc2fca30
Host_Membrane.uniprot_ppi.domino	<a href=https://drugst.one/?id=c80b84c93c254eaa92d7c60a98cc9fad>Host_Membrane.uniprot_ppi.domino</a>	https://drugst.one/?id=c80b84c93c254eaa92d7c60a98cc9fad
Host_Membrane.uniprot_ppi.no_tool	<a href=https://drugst.one/?id=c2e8f8ac8a834588ade40c773466d71b>Host_Membrane.uniprot_ppi.no_tool</a>	https://drugst.one/?id=c2e8f8ac8a834588ade40c773466d71b
Host_Membrane.uniprot_ppi.robust	<a href=https://drugst.one/?id=0cb400a5e7084fdfa6f63dda26939cf3>Host_Membrane.uniprot_ppi.robust</a>	https://drugst.one/?id=0cb400a5e7084fdfa6f63dda26939cf3
Host_Membrane.uniprot_ppi.robust_bias_aware	<a href=https://drugst.one/?id=7c84c2cd2b3f48d1aca2d331044325df>Host_Membrane.uniprot_ppi.robust_bias_aware</a>	https://drugst.one/?id=7c84c2cd2b3f48d1aca2d331044325df
