Module_id	drugstone_link	link_raw
Assembly_and_Packaging.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=5faea055c9014e60bfbaaae9f48f8531>Assembly_and_Packaging.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=5faea055c9014e60bfbaaae9f48f8531
Assembly_and_Packaging.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=0662831e80234570bbbab0a502807cbb>Assembly_and_Packaging.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=0662831e80234570bbbab0a502807cbb
Assembly_and_Packaging.amygdala.domino	<a href=https://drugst.one/?id=2afe12749a464d8bb41151bb401fde28>Assembly_and_Packaging.amygdala.domino</a>	https://drugst.one/?id=2afe12749a464d8bb41151bb401fde28
Assembly_and_Packaging.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=8bd27a8310b344d4b1de5f474964305d>Assembly_and_Packaging.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=8bd27a8310b344d4b1de5f474964305d
Assembly_and_Packaging.salivary_gland.rwr	<a href=https://drugst.one/?id=b03b874e8892442f8946892d51ce2df9>Assembly_and_Packaging.salivary_gland.rwr</a>	https://drugst.one/?id=b03b874e8892442f8946892d51ce2df9
Assembly_and_Packaging.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=247d6da7136c4ee28ecf04540c3ecc2d>Assembly_and_Packaging.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=247d6da7136c4ee28ecf04540c3ecc2d
Assembly_and_Packaging.amygdala.diamond	<a href=https://drugst.one/?id=63eba3a46db6433e8386d3fe4d7f5de0>Assembly_and_Packaging.amygdala.diamond</a>	https://drugst.one/?id=63eba3a46db6433e8386d3fe4d7f5de0
Assembly_and_Packaging.brain.diamond	<a href=https://drugst.one/?id=ed9e50e744084bb4aa3e2a9934bdc708>Assembly_and_Packaging.brain.diamond</a>	https://drugst.one/?id=ed9e50e744084bb4aa3e2a9934bdc708
Assembly_and_Packaging.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=a0efcb15aba2482ab9bee3235186e9cd>Assembly_and_Packaging.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=a0efcb15aba2482ab9bee3235186e9cd
Assembly_and_Packaging.amygdala.rwr	<a href=https://drugst.one/?id=8cd63cb269654e46b4775106aa6d75da>Assembly_and_Packaging.amygdala.rwr</a>	https://drugst.one/?id=8cd63cb269654e46b4775106aa6d75da
Assembly_and_Packaging.hypothalamus.robust	<a href=https://drugst.one/?id=c14f5f7c8880479aba4f61d137cee0b1>Assembly_and_Packaging.hypothalamus.robust</a>	https://drugst.one/?id=c14f5f7c8880479aba4f61d137cee0b1
Assembly_and_Packaging.uniprot_ppi.no_tool	<a href=https://drugst.one/?id=53b596f4a8db41d2af9db5b16641a2ef>Assembly_and_Packaging.uniprot_ppi.no_tool</a>	https://drugst.one/?id=53b596f4a8db41d2af9db5b16641a2ef
Assembly_and_Packaging.brain.rwr	<a href=https://drugst.one/?id=aa34e869c2044fd79348b23c297edd03>Assembly_and_Packaging.brain.rwr</a>	https://drugst.one/?id=aa34e869c2044fd79348b23c297edd03
Assembly_and_Packaging.salivary_gland.diamond	<a href=https://drugst.one/?id=4225d85775574866804932776b2fa440>Assembly_and_Packaging.salivary_gland.diamond</a>	https://drugst.one/?id=4225d85775574866804932776b2fa440
Assembly_and_Packaging.uniprot_ppi.diamond	<a href=https://drugst.one/?id=1a6a334132ca4b3ea5a211c2a6b3904e>Assembly_and_Packaging.uniprot_ppi.diamond</a>	https://drugst.one/?id=1a6a334132ca4b3ea5a211c2a6b3904e
Assembly_and_Packaging.amygdala.no_tool	<a href=https://drugst.one/?id=3c8776d508d14e3e9b82d305fa9e0b08>Assembly_and_Packaging.amygdala.no_tool</a>	https://drugst.one/?id=3c8776d508d14e3e9b82d305fa9e0b08
Assembly_and_Packaging.salivary_gland.robust	<a href=https://drugst.one/?id=ce7708e44b724f33a1bc53964c7543a7>Assembly_and_Packaging.salivary_gland.robust</a>	https://drugst.one/?id=ce7708e44b724f33a1bc53964c7543a7
