sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Assembly_and_Packaging.hypothalamus.domino	73	123	19	1	6.0	3	60	0
Assembly_and_Packaging.uniprot_ppi.rwr	104	502	42	1	5.0	1	104	0
Assembly_and_Packaging.uniprot_ppi.firstneighbor	4327	123527	42	1	5.0	1	4327	0
Assembly_and_Packaging.brain.no_tool	32	35	32	0	3.0	15	14	13
Assembly_and_Packaging.amygdala.rwr	65	247	30	1	4.0	1	65	0
Assembly_and_Packaging.brain.robust	61	93	32	1	7.0	3	59	2
Assembly_and_Packaging.hypothalamus.robust_bias_aware	63	96	32	1	6.0	5	59	4
Assembly_and_Packaging.uniprot_ppi.robust	79	117	42	1	7.0	7	73	6
Assembly_and_Packaging.hypothalamus.firstneighbor	3316	87588	32	1	5.0	1	3316	0
Assembly_and_Packaging.dorsal_root_ganglia.rwr	54	198	31	1	4.0	1	54	0
Assembly_and_Packaging.brain.diamond	232	7125	32	2	4.0	3	230	2
Assembly_and_Packaging.uniprot_ppi.robust_bias_aware	81	119	42	1	0	6	76	5
Assembly_and_Packaging.brain.rwr	53	164	32	1	5.0	1	53	0
Assembly_and_Packaging.salivary_gland.domino	52	96	14	1	2.0	2	46	0
Assembly_and_Packaging.salivary_gland.rwr	96	509	30	1	5.0	1	96	0
Assembly_and_Packaging.amygdala.diamond	230	6780	30	2	4.0	2	229	1
Assembly_and_Packaging.brain.domino	64	111	16	1	1.0	2	61	0
Assembly_and_Packaging.salivary_gland.no_tool	30	33	30	0	2.0	15	14	13
Assembly_and_Packaging.brain.robust_bias_aware	62	92	32	1	7.0	4	59	3
Assembly_and_Packaging.uniprot_ppi.diamond	242	6209	42	2	5.0	4	239	3
Assembly_and_Packaging.dorsal_root_ganglia.diamond	231	6189	31	2	3.0	4	228	3
Assembly_and_Packaging.hypothalamus.rwr	52	162	32	1	5.0	1	52	0
Assembly_and_Packaging.amygdala.firstneighbor	3268	85367	30	1	5.0	1	3268	0
Assembly_and_Packaging.salivary_gland.firstneighbor	3291	89123	30	1	5.0	1	3291	0
Assembly_and_Packaging.amygdala.no_tool	30	34	30	0	3.0	14	14	12
Assembly_and_Packaging.brain.firstneighbor	3330	88144	32	1	5.0	1	3330	0
Assembly_and_Packaging.dorsal_root_ganglia.domino	57	91	14	1	2.0	2	53	0
Assembly_and_Packaging.salivary_gland.robust_bias_aware	69	107	30	1	7.0	4	66	3
Assembly_and_Packaging.hypothalamus.robust	63	97	32	1	8.0	3	61	2
Assembly_and_Packaging.dorsal_root_ganglia.no_tool	31	34	31	0	3.0	15	14	13
Assembly_and_Packaging.amygdala.robust_bias_aware	57	83	30	1	6.0	5	53	4
Assembly_and_Packaging.uniprot_ppi.domino	86	125	22	1	9.0	2	82	0
Assembly_and_Packaging.amygdala.robust	55	79	30	1	8.0	5	51	4
Assembly_and_Packaging.dorsal_root_ganglia.robust_bias_aware	64	93	31	1	7.0	5	60	4
Assembly_and_Packaging.hypothalamus.no_tool	32	35	32	0	3.0	15	14	13
Assembly_and_Packaging.salivary_gland.diamond	230	5462	30	2	4.0	4	227	3
Assembly_and_Packaging.salivary_gland.robust	69	106	30	1	7.0	6	64	5
Assembly_and_Packaging.hypothalamus.diamond	232	7127	32	2	4.0	3	230	2
Assembly_and_Packaging.uniprot_ppi.no_tool	42	44	42	0	3.0	18	21	16
Assembly_and_Packaging.amygdala.domino	63	99	15	1	2.0	3	55	0
Assembly_and_Packaging.dorsal_root_ganglia.robust	62	84	31	1	9.0	6	57	5
Assembly_and_Packaging.dorsal_root_ganglia.firstneighbor	3374	91416	31	1	5.0	1	3374	0
