Sample	drugstone_link	link_raw
Virion_Components.amygdala.diamond	<a href=https://drugst.one/?id=f23fd35c091547e6adafca27d30c876e>Virion_Components.amygdala.diamond</a>	https://drugst.one/?id=f23fd35c091547e6adafca27d30c876e
Virion_Components.amygdala.domino	<a href=https://drugst.one/?id=1ac018f9ad2649899fd45dc752660bc9>Virion_Components.amygdala.domino</a>	https://drugst.one/?id=1ac018f9ad2649899fd45dc752660bc9
Virion_Components.amygdala.no_tool	<a href=https://drugst.one/?id=c5927ca0418d4e8e9f510d7d0231cc09>Virion_Components.amygdala.no_tool</a>	https://drugst.one/?id=c5927ca0418d4e8e9f510d7d0231cc09
Virion_Components.amygdala.robust	<a href=https://drugst.one/?id=1628c76dd6d94f49a381d855d0a2e7cc>Virion_Components.amygdala.robust</a>	https://drugst.one/?id=1628c76dd6d94f49a381d855d0a2e7cc
Virion_Components.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=f5daef3d5f3e46db8bfc1e7b2fb82c06>Virion_Components.amygdala.robust_bias_aware</a>	https://drugst.one/?id=f5daef3d5f3e46db8bfc1e7b2fb82c06
Virion_Components.amygdala.rwr	<a href=https://drugst.one/?id=ee247b0453304bdc9bcc816a4cfa06b3>Virion_Components.amygdala.rwr</a>	https://drugst.one/?id=ee247b0453304bdc9bcc816a4cfa06b3
Virion_Components.brain.diamond	<a href=https://drugst.one/?id=9fbb980a40744ff18cb1057e39612903>Virion_Components.brain.diamond</a>	https://drugst.one/?id=9fbb980a40744ff18cb1057e39612903
Virion_Components.brain.domino	<a href=https://drugst.one/?id=e118c6a527df425c9b66c8933ece855d>Virion_Components.brain.domino</a>	https://drugst.one/?id=e118c6a527df425c9b66c8933ece855d
Virion_Components.brain.no_tool	<a href=https://drugst.one/?id=b64bf5fcb68846f7a2a9d953811a7b17>Virion_Components.brain.no_tool</a>	https://drugst.one/?id=b64bf5fcb68846f7a2a9d953811a7b17
Virion_Components.brain.robust	<a href=https://drugst.one/?id=9b941d7277614d23b5c795cdb2ab445e>Virion_Components.brain.robust</a>	https://drugst.one/?id=9b941d7277614d23b5c795cdb2ab445e
