Sample	drugstone_link	link_raw
Host_Cytoplasm.amygdala.diamond	<a href=https://drugst.one/?id=d04ce218465d47ec8299f32fe5f23ae9>Host_Cytoplasm.amygdala.diamond</a>	https://drugst.one/?id=d04ce218465d47ec8299f32fe5f23ae9
Host_Cytoplasm.amygdala.domino	<a href=https://drugst.one/?id=16edfe5cc1304b6fad03b24fb08db25b>Host_Cytoplasm.amygdala.domino</a>	https://drugst.one/?id=16edfe5cc1304b6fad03b24fb08db25b
Host_Cytoplasm.amygdala.no_tool	<a href=https://drugst.one/?id=b775478bd87b478da069ad1633343845>Host_Cytoplasm.amygdala.no_tool</a>	https://drugst.one/?id=b775478bd87b478da069ad1633343845
Host_Cytoplasm.amygdala.robust	<a href=https://drugst.one/?id=f9f6d22210cf40fea3046ea76d75ff23>Host_Cytoplasm.amygdala.robust</a>	https://drugst.one/?id=f9f6d22210cf40fea3046ea76d75ff23
Host_Cytoplasm.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=76f317c2018d4d838b210265cf429ed5>Host_Cytoplasm.amygdala.robust_bias_aware</a>	https://drugst.one/?id=76f317c2018d4d838b210265cf429ed5
Host_Cytoplasm.amygdala.rwr	<a href=https://drugst.one/?id=a2d87a228fde4d5eaeefd4434cf7ef6a>Host_Cytoplasm.amygdala.rwr</a>	https://drugst.one/?id=a2d87a228fde4d5eaeefd4434cf7ef6a
Host_Cytoplasm.brain.diamond	<a href=https://drugst.one/?id=65250a3cf1364d7b9c193eba1e096845>Host_Cytoplasm.brain.diamond</a>	https://drugst.one/?id=65250a3cf1364d7b9c193eba1e096845
Host_Cytoplasm.brain.domino	<a href=https://drugst.one/?id=597bead30bac4e68827726b786a4e99d>Host_Cytoplasm.brain.domino</a>	https://drugst.one/?id=597bead30bac4e68827726b786a4e99d
Host_Cytoplasm.brain.no_tool	<a href=https://drugst.one/?id=9084e9675e774c04813f53e511c243d1>Host_Cytoplasm.brain.no_tool</a>	https://drugst.one/?id=9084e9675e774c04813f53e511c243d1
Host_Cytoplasm.brain.robust	<a href=https://drugst.one/?id=86f5460550b74f71b1557be4a0f95028>Host_Cytoplasm.brain.robust</a>	https://drugst.one/?id=86f5460550b74f71b1557be4a0f95028
Host_Cytoplasm.brain.robust_bias_aware	<a href=https://drugst.one/?id=b4b4d41db945417c904da4d211fa9ba7>Host_Cytoplasm.brain.robust_bias_aware</a>	https://drugst.one/?id=b4b4d41db945417c904da4d211fa9ba7
Host_Cytoplasm.brain.rwr	<a href=https://drugst.one/?id=f1ae102e8ea14eb7811e55ab39210182>Host_Cytoplasm.brain.rwr</a>	https://drugst.one/?id=f1ae102e8ea14eb7811e55ab39210182
Host_Cytoplasm.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=85e0c71bd968435fb10923aeab98dde5>Host_Cytoplasm.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=85e0c71bd968435fb10923aeab98dde5
Host_Cytoplasm.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=e219a670c5334970989126ef5ba72943>Host_Cytoplasm.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=e219a670c5334970989126ef5ba72943
Host_Cytoplasm.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=67106a9fa76e440da52ba660b4a888af>Host_Cytoplasm.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=67106a9fa76e440da52ba660b4a888af
Host_Cytoplasm.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=dd03069241d34d9cbadf4fe6750fce9b>Host_Cytoplasm.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=dd03069241d34d9cbadf4fe6750fce9b
Host_Cytoplasm.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=94a0fc1a97e04f9aaca38870e7e5753e>Host_Cytoplasm.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=94a0fc1a97e04f9aaca38870e7e5753e
Host_Cytoplasm.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=18e8470af54c46c8ac847cb2440a9e89>Host_Cytoplasm.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=18e8470af54c46c8ac847cb2440a9e89
Host_Cytoplasm.hypothalamus.diamond	<a href=https://drugst.one/?id=5813ec1a41e44b75b5fd3b84b5db4395>Host_Cytoplasm.hypothalamus.diamond</a>	https://drugst.one/?id=5813ec1a41e44b75b5fd3b84b5db4395
Host_Cytoplasm.hypothalamus.domino	<a href=https://drugst.one/?id=85c642fff1e843eda9e11f3ee68dc99a>Host_Cytoplasm.hypothalamus.domino</a>	https://drugst.one/?id=85c642fff1e843eda9e11f3ee68dc99a
Host_Cytoplasm.hypothalamus.no_tool	<a href=https://drugst.one/?id=d44afa1d7b2448dfa04ecdb7e987f0ad>Host_Cytoplasm.hypothalamus.no_tool</a>	https://drugst.one/?id=d44afa1d7b2448dfa04ecdb7e987f0ad
Host_Cytoplasm.hypothalamus.robust	<a href=https://drugst.one/?id=9b5596f64c7f4347bb0ba62e67eba5d2>Host_Cytoplasm.hypothalamus.robust</a>	https://drugst.one/?id=9b5596f64c7f4347bb0ba62e67eba5d2
Host_Cytoplasm.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=d0fb6833f39b49e99bbe0d5cd09c1e8e>Host_Cytoplasm.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=d0fb6833f39b49e99bbe0d5cd09c1e8e
Host_Cytoplasm.hypothalamus.rwr	<a href=https://drugst.one/?id=77906736018b4fabaacb00e30faffa87>Host_Cytoplasm.hypothalamus.rwr</a>	https://drugst.one/?id=77906736018b4fabaacb00e30faffa87
Host_Cytoplasm.salivary_gland.diamond	<a href=https://drugst.one/?id=af5bb875ee1d40a097fdfd6bfa1cf6fa>Host_Cytoplasm.salivary_gland.diamond</a>	https://drugst.one/?id=af5bb875ee1d40a097fdfd6bfa1cf6fa
Host_Cytoplasm.salivary_gland.domino	<a href=https://drugst.one/?id=4d67e6f9b22a4a5e9ec8f23cec068fec>Host_Cytoplasm.salivary_gland.domino</a>	https://drugst.one/?id=4d67e6f9b22a4a5e9ec8f23cec068fec
Host_Cytoplasm.salivary_gland.no_tool	<a href=https://drugst.one/?id=ea0fcde6f3404fba9721c4ba269799fb>Host_Cytoplasm.salivary_gland.no_tool</a>	https://drugst.one/?id=ea0fcde6f3404fba9721c4ba269799fb
Host_Cytoplasm.salivary_gland.robust	<a href=https://drugst.one/?id=c7f84ef88fe24cc98a46fc6d7f7e439e>Host_Cytoplasm.salivary_gland.robust</a>	https://drugst.one/?id=c7f84ef88fe24cc98a46fc6d7f7e439e
Host_Cytoplasm.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=025262f8843d44feb0037b650c16add4>Host_Cytoplasm.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=025262f8843d44feb0037b650c16add4
Host_Cytoplasm.salivary_gland.rwr	<a href=https://drugst.one/?id=7b3c912cfd20464b8aeca9a5db3b91a5>Host_Cytoplasm.salivary_gland.rwr</a>	https://drugst.one/?id=7b3c912cfd20464b8aeca9a5db3b91a5
Host_Cytoplasm.uniprot_ppi.diamond	<a href=https://drugst.one/?id=8533f8c119fd41d2ac5f1c3f24a4b24d>Host_Cytoplasm.uniprot_ppi.diamond</a>	https://drugst.one/?id=8533f8c119fd41d2ac5f1c3f24a4b24d
Host_Cytoplasm.uniprot_ppi.domino	<a href=https://drugst.one/?id=1809a7ac29a348e4b761a947dc2a07c5>Host_Cytoplasm.uniprot_ppi.domino</a>	https://drugst.one/?id=1809a7ac29a348e4b761a947dc2a07c5
